column,dtype,missing_count,unique_count
Class,str,0,4
_RMSenergy_Mean,float64,0,196
_Lowenergy_Mean,float64,0,166
_Fluctuation_Mean,float64,0,377
_Tempo_Mean,float64,0,388
_MFCC_Mean_1,float64,0,354
_MFCC_Mean_2,float64,0,347
_MFCC_Mean_3,float64,0,319
_MFCC_Mean_4,float64,0,316
_MFCC_Mean_5,float64,0,297
_MFCC_Mean_6,float64,0,297
_MFCC_Mean_7,float64,0,304
_MFCC_Mean_8,float64,0,273
_MFCC_Mean_9,float64,0,278
_MFCC_Mean_10,float64,0,271
_MFCC_Mean_11,float64,0,253
_MFCC_Mean_12,float64,0,272
_MFCC_Mean_13,float64,0,259
_Roughness_Mean,float64,0,388
_Roughness_Slope,float64,0,292
_Zero-crossingrate_Mean,float64,0,388
_AttackTime_Mean,float64,0,61
_AttackTime_Slope,float64,0,274
_Rolloff_Mean,float64,0,388
_Eventdensity_Mean,float64,0,163
_Pulseclarity_Mean,float64,0,266
_Brightness_Mean,float64,0,277
_Spectralcentroid_Mean,float64,0,388
_Spectralspread_Mean,float64,0,388
_Spectralskewness_Mean,float64,0,357
_Spectralkurtosis_Mean,float64,0,381
_Spectralflatness_Mean,float64,0,94
_EntropyofSpectrum_Mean,float64,0,134
_Chromagram_Mean_1,float64,0,259
_Chromagram_Mean_2,float64,0,240
_Chromagram_Mean_3,float64,0,263
_Chromagram_Mean_4,float64,0,240
_Chromagram_Mean_5,float64,0,286
_Chromagram_Mean_6,float64,0,241
_Chromagram_Mean_7,float64,0,243
_Chromagram_Mean_8,float64,0,269
_Chromagram_Mean_9,float64,0,262
_Chromagram_Mean_10,float64,0,245
_Chromagram_Mean_11,float64,0,273
_Chromagram_Mean_12,float64,0,252
_HarmonicChangeDetectionFunction_Mean,float64,0,178
_HarmonicChangeDetectionFunction_Std,float64,0,159
_HarmonicChangeDetectionFunction_Slope,float64,0,237
_HarmonicChangeDetectionFunction_PeriodFreq,float64,0,40
_HarmonicChangeDetectionFunction_PeriodAmp,float64,0,196
_HarmonicChangeDetectionFunction_PeriodEntropy,float64,0,26
