Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
angry,0.174,0.521,5.115,105.733,1.537,0.38,0.434,0.288,0.239,0.134,0.058,0.037,0.018,0.004,-0.087,-0.074,-0.04,1058.672,0.064,1790.728,0.018,-0.115,10223.813,4.477,0.292,0.631,4573.243,4424.586,0.801,2.437,0.081,0.931,0.0,0.0,0.0,0.046,0.765,0.035,0.0,0.034,0.204,1.0,0.036,0.204,0.216,0.131,0.153,1.121,0.821,0.962
angry,0.174,0.521,5.115,105.733,1.537,0.38,0.434,0.288,0.239,0.134,0.058,0.037,0.018,0.004,-0.087,-0.074,-0.04,1058.672,0.064,1790.728,0.018,-0.115,10223.813,4.477,0.292,0.631,4573.243,4424.586,0.801,2.437,0.081,0.931,0.0,0.0,0.0,0.046,0.765,0.035,0.0,0.034,0.204,1.0,0.036,0.204,0.216,0.131,0.153,1.121,0.821,0.962
angry,0.201,0.515,6.586,120.389,2.482,0.181,0.64,0.221,0.087,0.235,0.128,0.123,-0.026,0.07,-0.044,0.085,0.039,1256.1,0.078,808.772,0.023,0.094,9207.0,3.876,0.269,0.477,3274.785,3802.078,0.981,2.42,0.022,0.887,0.307,0.121,1.0,0.117,0.016,0.015,0.102,0.086,0.115,0.791,0.139,0.03,0.316,0.136,0.122,2.691,0.865,0.969
angry,0.201,0.515,6.586,120.389,2.482,0.181,0.64,0.221,0.087,0.235,0.128,0.123,-0.026,0.07,-0.044,0.085,0.039,1256.1,0.078,808.772,0.023,0.094,9207.0,3.876,0.269,0.477,3274.785,3802.078,0.981,2.42,0.022,0.887,0.307,0.121,1.0,0.117,0.016,0.015,0.102,0.086,0.115,0.791,0.139,0.03,0.316,0.136,0.122,2.691,0.865,0.969
angry,0.268,0.496,4.444,150.255,2.314,0.118,0.541,-0.185,0.063,0.164,0.114,0.04,0.033,0.114,0.168,0.051,0.066,1802.253,0.07,382.749,0.01,-0.048,4301.699,6.315,0.156,0.367,1983.395,2788.68,2.128,7.671,0.045,0.854,0.463,0.238,0.497,0.866,0.289,0.497,0.166,1.0,0.77,0.77,0.888,0.192,0.402,0.182,-0.057,0.673,0.834,0.965
angry,0.268,0.496,4.444,150.255,2.314,0.118,0.541,-0.185,0.063,0.164,0.114,0.04,0.033,0.114,0.168,0.051,0.066,1802.253,0.07,382.749,0.01,-0.048,4301.699,6.315,0.156,0.367,1983.395,2788.68,2.128,7.671,0.045,0.854,0.463,0.238,0.497,0.866,0.289,0.497,0.166,1.0,0.77,0.77,0.888,0.192,0.402,0.182,-0.057,0.673,0.834,0.965
happy,0.077,0.552,7.346,189.398,2.332,0.214,0.324,0.19,0.076,0.083,0.183,0.062,0.029,0.061,0.062,-0.007,-0.002,226.424,0.064,1425.525,0.027,0.027,6821.609,4.533,0.546,0.478,2965.568,3525.748,1.514,4.507,0.062,0.903,0.541,0.741,0.937,0.379,1.0,0.761,0.345,0.692,0.649,0.996,0.902,0.439,0.333,0.153,-0.002,1.346,0.818,0.971
happy,0.077,0.552,7.346,189.398,2.332,0.214,0.324,0.19,0.076,0.083,0.183,0.062,0.029,0.061,0.062,-0.007,-0.002,226.424,0.064,1425.525,0.027,0.027,6821.609,4.533,0.546,0.478,2965.568,3525.748,1.514,4.507,0.062,0.903,0.541,0.741,0.937,0.379,1.0,0.761,0.345,0.692,0.649,0.996,0.902,0.439,0.333,0.153,-0.002,1.346,0.818,0.971
happy,0.117,0.546,16.487,104.651,2.438,-0.684,0.496,-0.11,-0.019,-0.157,-0.009,0.205,0.191,-0.121,-0.233,0.023,0.116,386.45,-0.006,1212.784,0.028,-0.052,3873.916,3.876,0.331,0.479,2155.522,2399.396,2.284,9.076,0.03,0.88,0.485,1.0,0.034,0.007,0.184,0.302,0.108,0.429,0.002,0.159,0.001,0.082,0.395,0.177,-0.053,2.691,0.831,0.97
happy,0.117,0.546,16.487,104.651,2.438,-0.684,0.496,-0.11,-0.019,-0.157,-0.009,0.205,0.191,-0.121,-0.233,0.023,0.116,386.45,-0.006,1212.784,0.028,-0.052,3873.916,3.876,0.331,0.479,2155.522,2399.396,2.284,9.076,0.03,0.88,0.485,1.0,0.034,0.007,0.184,0.302,0.108,0.429,0.002,0.159,0.001,0.082,0.395,0.177,-0.053,2.691,0.831,0.97
