feature,anova_f_value,anova_p_value,correlation_ratio_eta
_HarmonicChangeDetectionFunction_Std,170.0332970141982,3.975635655388958e-70,0.7553262783919042
_Zero-crossingrate_Mean,126.11228309359703,7.300348724274288e-57,0.7044754529400659
_HarmonicChangeDetectionFunction_PeriodAmp,118.93122219780714,1.7670111877286626e-54,0.6940007471049372
_Pulseclarity_Mean,88.73084141425794,1.2307786510431373e-43,0.6398481835810034
_Eventdensity_Mean,82.1173056037359,4.616643214955393e-41,0.6251531646255766
_EntropyofSpectrum_Mean,53.939635047824225,4.091263650678765e-29,0.544490544435155
_Brightness_Mean,53.652814690462606,5.52856418669814e-29,0.5434695167024047
_Fluctuation_Mean,50.54938164718939,1.4806882406368936e-27,0.5320822219871539
_HarmonicChangeDetectionFunction_Mean,47.448275558877604,4.184835654926279e-26,0.5200387007822966
_MFCC_Mean_1,47.35037622072146,4.654772246815953e-26,0.5196469301501404
_AttackTime_Mean,36.720536283401245,6.944644176550057e-21,0.4721506955694009
_Spectralcentroid_Mean,26.857407155825914,8.652834416756865e-16,0.4164530526245781
_MFCC_Mean_2,24.266147201701365,2.1205009802692377e-14,0.3992075391131653
_Spectralskewness_Mean,22.80048361353075,1.3240263924781535e-13,0.388839756267145
_Roughness_Mean,20.843364843708937,1.5670317783350834e-12,0.3742132627481726
_Spectralkurtosis_Mean,18.078427460833243,5.404852897679165e-11,0.35179307241272056
_Chromagram_Mean_7,16.141306294522536,6.685310193938164e-10,0.3346378894913215
_Rolloff_Mean,15.586679807109887,1.3808008784808621e-09,0.32947292408145024
_Roughness_Slope,14.873747362112965,3.519747467722013e-09,0.3226517183462941
_RMSenergy_Mean,13.246615759139505,3.02019906160144e-08,0.3062410774041492
_MFCC_Mean_4,12.830303783495893,5.250522585895885e-08,0.3018355654429662
_MFCC_Mean_3,11.860737790116186,1.9122693020246412e-07,0.29121111353397444
_MFCC_Mean_7,11.736314742297653,2.2583176383662322e-07,0.289808574826976
_HarmonicChangeDetectionFunction_PeriodFreq,9.963890053787422,2.4402266477971357e-06,0.26873965029211616
_Chromagram_Mean_11,9.752177695450941,3.246698643570041e-06,0.2660734656310888
_Chromagram_Mean_6,9.3796793460292,5.3690020201407005e-06,0.2612959911360381
_Chromagram_Mean_1,9.25445541467399,6.359201547317131e-06,0.2596642782208121
_Chromagram_Mean_2,7.806750843788671,4.524151432517742e-05,0.23975875787400625
_Spectralspread_Mean,7.2077180886833006,0.00010212644039902744,0.23088629481280182
_AttackTime_Slope,6.737353307050942,0.00019366698828540075,0.2236148571949078
_Chromagram_Mean_12,5.785620879531749,0.0007074025084629114,0.2079554308498387
_Chromagram_Mean_8,5.74097557272927,0.0007517166448766186,0.2071860955172869
_MFCC_Mean_6,5.720804952526922,0.0007726370862231089,0.20683740449948895
_HarmonicChangeDetectionFunction_PeriodEntropy,4.64064776677101,0.0033538756448773794,0.1870471028706264
_Chromagram_Mean_9,4.401334355168872,0.004638981473543041,0.18232490665400766
_Chromagram_Mean_4,4.131110948675152,0.0066868832624613385,0.17681979641468015
_Tempo_Mean,3.858630151030305,0.00966026248367066,0.17106544715268165
_Lowenergy_Mean,3.8384564669298573,0.009926602695580839,0.17063073238562973
_HarmonicChangeDetectionFunction_Slope,3.279642680612653,0.021029350985509412,0.15805730471018153
_MFCC_Mean_9,2.7302996609501187,0.043688201806293826,0.14451636498548817
_Chromagram_Mean_3,2.6471815331697726,0.048759905633727375,0.14234487642089633
_MFCC_Mean_11,2.3246815194191597,0.07447707983702265,0.13355753515056634
_MFCC_Mean_13,2.0266176424322535,0.10967741803437905,0.12484460418375237
_MFCC_Mean_5,1.9772477690035914,0.11688068045876093,0.12333799345610713
_Chromagram_Mean_10,1.9607160754998263,0.11939272747019695,0.12282911054642882
_Chromagram_Mean_5,1.87632767366626,0.13304359606445013,0.12019581369658228
_Spectralflatness_Mean,1.2944053485457543,0.27599180049838457,0.10005649441643945
_MFCC_Mean_8,0.34840804964511496,0.7903260009245621,0.05210133447363715
_MFCC_Mean_10,0.2997480610882207,0.8255820276347406,0.048335396944520576
_MFCC_Mean_12,0.29821385815946266,0.8266914109615484,0.04821182878891823
