feature_1,feature_2,abs_correlation,correlation
_Spectralskewness_Mean,_Spectralkurtosis_Mean,0.9758591275878665,0.9758591275878665
_Rolloff_Mean,_Spectralcentroid_Mean,0.9582498748902967,0.9582498748902967
_Brightness_Mean,_EntropyofSpectrum_Mean,0.9327330677215946,0.9327330677215946
_Rolloff_Mean,_Spectralspread_Mean,0.9195648530279399,0.9195648530279399
_MFCC_Mean_1,_Brightness_Mean,0.904054939768204,-0.904054939768204
_Spectralcentroid_Mean,_EntropyofSpectrum_Mean,0.8996208045697962,0.8996208045697962
_RMSenergy_Mean,_Roughness_Mean,0.8927434442881569,0.8927434442881569
_Rolloff_Mean,_Spectralkurtosis_Mean,0.891290385008233,-0.891290385008233
_Spectralcentroid_Mean,_Spectralskewness_Mean,0.8888031341496752,-0.8888031341496752
_Rolloff_Mean,_Spectralskewness_Mean,0.8855312961803389,-0.8855312961803389
_Spectralcentroid_Mean,_Spectralkurtosis_Mean,0.8650606299309377,-0.8650606299309377
_Spectralskewness_Mean,_EntropyofSpectrum_Mean,0.8643451017466398,-0.8643451017466398
_Spectralcentroid_Mean,_Spectralspread_Mean,0.8592397119301529,0.8592397119301529
_Brightness_Mean,_Spectralcentroid_Mean,0.8582841104364917,0.8582841104364917
_Zero-crossingrate_Mean,_Brightness_Mean,0.8474632027106858,0.8474632027106858
_Brightness_Mean,_Spectralskewness_Mean,0.8434399808089645,-0.8434399808089645
_Spectralkurtosis_Mean,_EntropyofSpectrum_Mean,0.8322861934449853,-0.8322861934449853
_Spectralspread_Mean,_Spectralflatness_Mean,0.8302411196811746,0.8302411196811746
_Rolloff_Mean,_EntropyofSpectrum_Mean,0.8167870161552757,0.8167870161552757
_MFCC_Mean_1,_Spectralskewness_Mean,0.808563626644578,0.808563626644578
_MFCC_Mean_1,_EntropyofSpectrum_Mean,0.8017713633978055,-0.8017713633978055
_Zero-crossingrate_Mean,_EntropyofSpectrum_Mean,0.7988945177399023,0.7988945177399023
_Spectralspread_Mean,_Spectralkurtosis_Mean,0.7771193927990563,-0.7771193927990563
_Brightness_Mean,_Spectralkurtosis_Mean,0.7711943323145912,-0.7711943323145912
_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_PeriodAmp,0.7450904220412076,-0.7450904220412076
_MFCC_Mean_1,_Spectralkurtosis_Mean,0.7406741696996711,0.7406741696996711
_MFCC_Mean_1,_Spectralcentroid_Mean,0.7345033656900196,-0.7345033656900196
_Rolloff_Mean,_Brightness_Mean,0.7309941548400579,0.7309941548400579
_Spectralspread_Mean,_Spectralskewness_Mean,0.7180720991493199,-0.7180720991493199
_Rolloff_Mean,_Spectralflatness_Mean,0.7164811053039389,0.7164811053039389
_Zero-crossingrate_Mean,_Spectralcentroid_Mean,0.6989320103573619,0.6989320103573619
_Spectralcentroid_Mean,_Spectralflatness_Mean,0.6980601983379464,0.6980601983379464
_MFCC_Mean_1,_Zero-crossingrate_Mean,0.6890856970332587,-0.6890856970332587
_Spectralspread_Mean,_EntropyofSpectrum_Mean,0.6750707322718714,0.6750707322718714
_Eventdensity_Mean,_HarmonicChangeDetectionFunction_PeriodAmp,0.6632354893642384,0.6632354893642384
_AttackTime_Mean,_Eventdensity_Mean,0.6334304737465216,-0.6334304737465216
_Zero-crossingrate_Mean,_Spectralskewness_Mean,0.6285463326845497,-0.6285463326845497
_Eventdensity_Mean,_HarmonicChangeDetectionFunction_Std,0.6273712521383678,-0.6273712521383678
_MFCC_Mean_1,_Rolloff_Mean,0.6209046712659309,-0.6209046712659309
_Zero-crossingrate_Mean,_Spectralkurtosis_Mean,0.5471953503893989,-0.5471953503893989
_Brightness_Mean,_Spectralspread_Mean,0.5423637616162151,0.5423637616162151
_Zero-crossingrate_Mean,_Rolloff_Mean,0.5310482565771725,0.5310482565771725
_AttackTime_Mean,_HarmonicChangeDetectionFunction_PeriodAmp,0.5008893053900333,-0.5008893053900333
_Roughness_Mean,_Eventdensity_Mean,0.4995321595564483,0.4995321595564483
_AttackTime_Mean,_HarmonicChangeDetectionFunction_Std,0.49939907484722673,0.49939907484722673
_Spectralflatness_Mean,_EntropyofSpectrum_Mean,0.4985858442512391,0.4985858442512391
_Spectralkurtosis_Mean,_Spectralflatness_Mean,0.49419696941802677,-0.49419696941802677
_MFCC_Mean_12,_MFCC_Mean_13,0.485093075140734,0.485093075140734
_Lowenergy_Mean,_Eventdensity_Mean,0.4848579597177744,-0.4848579597177744
_Roughness_Mean,_AttackTime_Mean,0.4723121061704133,-0.4723121061704133
