class_a,class_b,feature,pairwise_fisher_distance
angry,relax,_HarmonicChangeDetectionFunction_Std,3.612846307847531
happy,relax,_Zero-crossingrate_Mean,3.568087214058179
happy,relax,_HarmonicChangeDetectionFunction_PeriodAmp,2.7398675380942916
happy,relax,_Eventdensity_Mean,2.634594379544228
angry,sad,_HarmonicChangeDetectionFunction_Std,2.570556071842425
happy,relax,_HarmonicChangeDetectionFunction_Std,2.158938622299761
happy,sad,_HarmonicChangeDetectionFunction_PeriodAmp,2.1406659092518554
angry,happy,_Zero-crossingrate_Mean,2.0151804621275247
happy,relax,_Pulseclarity_Mean,1.866692968060701
happy,sad,_Pulseclarity_Mean,1.848906927838184
happy,relax,_Brightness_Mean,1.6851648542656457
angry,relax,_HarmonicChangeDetectionFunction_PeriodAmp,1.6074423215012679
happy,relax,_EntropyofSpectrum_Mean,1.5535854103884263
happy,sad,_Zero-crossingrate_Mean,1.4838614545514135
happy,sad,_EntropyofSpectrum_Mean,1.412179010192778
angry,relax,_Fluctuation_Mean,1.2976759473063701
happy,relax,_MFCC_Mean_1,1.2948619753407768
angry,happy,_HarmonicChangeDetectionFunction_Mean,1.2795261040252324
happy,sad,_HarmonicChangeDetectionFunction_Std,1.2614300538527718
happy,sad,_Eventdensity_Mean,1.2409361655094968
angry,relax,_Eventdensity_Mean,1.1955394547629443
angry,sad,_HarmonicChangeDetectionFunction_PeriodAmp,1.119179599949607
angry,happy,_Fluctuation_Mean,1.1152308468276522
angry,happy,_EntropyofSpectrum_Mean,1.063972014585376
happy,sad,_Brightness_Mean,1.012078623925475
happy,sad,_MFCC_Mean_1,0.8663160104170416
angry,sad,_Fluctuation_Mean,0.7882237408407603
happy,sad,_Spectralskewness_Mean,0.7795966588319295
angry,sad,_HarmonicChangeDetectionFunction_Mean,0.7725465226608554
angry,sad,_AttackTime_Mean,0.7541829113046729
angry,happy,_Brightness_Mean,0.7390698730328011
happy,sad,_Spectralcentroid_Mean,0.7201066059256617
happy,sad,_Spectralkurtosis_Mean,0.6629385021680502
happy,relax,_MFCC_Mean_2,0.6595203657798083
angry,relax,_AttackTime_Mean,0.6367872434305278
angry,happy,_Pulseclarity_Mean,0.5946880290992305
angry,relax,_HarmonicChangeDetectionFunction_Mean,0.585251627712115
happy,relax,_Spectralcentroid_Mean,0.5840015908930551
angry,sad,_Eventdensity_Mean,0.5550546616892602
angry,happy,_Chromagram_Mean_7,0.5545043008818129
happy,sad,_Rolloff_Mean,0.526611400876735
angry,relax,_MFCC_Mean_1,0.5094562136568586
happy,relax,_Spectralskewness_Mean,0.4809735528648057
angry,happy,_Spectralcentroid_Mean,0.47117354195789096
angry,happy,_Spectralskewness_Mean,0.4677209411537056
angry,happy,_HarmonicChangeDetectionFunction_Std,0.44376999795226557
angry,sad,_Chromagram_Mean_7,0.44126215944770814
angry,happy,_Spectralkurtosis_Mean,0.43899301027420345
angry,relax,_Roughness_Slope,0.4141096972253191
angry,relax,_MFCC_Mean_2,0.39973331798696704
angry,happy,_MFCC_Mean_3,0.3969393198051066
happy,sad,_AttackTime_Mean,0.38742100017095604
angry,happy,_MFCC_Mean_7,0.3686345482320135
happy,relax,_Spectralkurtosis_Mean,0.3643641040599207
relax,sad,_Zero-crossingrate_Mean,0.36106592051964365
happy,relax,_Roughness_Mean,0.3560950785575479
relax,sad,_MFCC_Mean_2,0.33702022681455396
happy,sad,_Roughness_Mean,0.32294844477111045
angry,relax,_Roughness_Mean,0.3210285316507369
angry,relax,_Chromagram_Mean_7,0.30448431526582254
happy,relax,_AttackTime_Mean,0.30400516470147815
angry,relax,_Pulseclarity_Mean,0.30186686626277753
angry,happy,_Rolloff_Mean,0.29692848700704366
angry,sad,_Roughness_Mean,0.2946838331870256
angry,sad,_Pulseclarity_Mean,0.28386168792680777
happy,relax,_Chromagram_Mean_11,0.2533673039838986
angry,sad,_MFCC_Mean_1,0.25213946554605643
relax,sad,_MFCC_Mean_4,0.2471789065011089
happy,relax,_Roughness_Slope,0.24052561043428686
happy,relax,_MFCC_Mean_4,0.23907828840600495
angry,sad,_RMSenergy_Mean,0.23903628335938948
angry,happy,_Chromagram_Mean_1,0.23336013681622697
angry,relax,_RMSenergy_Mean,0.2323337256901732
angry,happy,_Chromagram_Mean_2,0.23115846145709684
angry,happy,_MFCC_Mean_6,0.22359974184937667
happy,sad,_Spectralspread_Mean,0.21530333544896652
angry,relax,_MFCC_Mean_7,0.2135510361135808
happy,relax,_Rolloff_Mean,0.20548674207704284
angry,relax,_Brightness_Mean,0.20188517474962187
happy,sad,_Chromagram_Mean_1,0.20167001964572392
happy,relax,_Chromagram_Mean_6,0.19878336374136357
angry,relax,_HarmonicChangeDetectionFunction_PeriodFreq,0.19404773613975274
relax,sad,_Roughness_Slope,0.1938943344038648
happy,relax,_AttackTime_Slope,0.19360179812324382
angry,happy,_AttackTime_Mean,0.19214782681365195
angry,happy,_Chromagram_Mean_12,0.18905262876071385
angry,happy,_Chromagram_Mean_11,0.1887970041769928
happy,relax,_HarmonicChangeDetectionFunction_PeriodFreq,0.17944041803124922
angry,happy,_Chromagram_Mean_6,0.168670902492722
happy,sad,_RMSenergy_Mean,0.16837650314049601
happy,relax,_RMSenergy_Mean,0.15994962926308737
angry,happy,_Chromagram_Mean_8,0.15251915010732064
happy,relax,_MFCC_Mean_3,0.1511084543602678
angry,sad,_MFCC_Mean_3,0.14752219338247716
happy,relax,_HarmonicChangeDetectionFunction_PeriodEntropy,0.14745377062542067
relax,sad,_Eventdensity_Mean,0.14240708673094218
relax,sad,_HarmonicChangeDetectionFunction_Std,0.13639177019743354
happy,sad,_MFCC_Mean_7,0.12887150065339928
angry,happy,_MFCC_Mean_1,0.12290613628114046
happy,relax,_Chromagram_Mean_4,0.12284830782396722
angry,sad,_Chromagram_Mean_8,0.11866809688613093
happy,relax,_Chromagram_Mean_1,0.11818694600263059
relax,sad,_Brightness_Mean,0.11570189669535197
happy,sad,_Chromagram_Mean_2,0.11557124282326996
happy,relax,_HarmonicChangeDetectionFunction_Slope,0.11422781810081882
angry,relax,_EntropyofSpectrum_Mean,0.11245851658098148
happy,relax,_MFCC_Mean_6,0.11222493862166504
relax,sad,_Chromagram_Mean_6,0.10884007274159375
angry,sad,_HarmonicChangeDetectionFunction_PeriodFreq,0.10691957776127631
angry,sad,_Lowenergy_Mean,0.10572328315999888
happy,relax,_Chromagram_Mean_2,0.10454932903677364
angry,happy,_Spectralspread_Mean,0.10218136648903653
angry,relax,_Tempo_Mean,0.09962462734293018
happy,relax,_Chromagram_Mean_9,0.09252723977719778
angry,relax,_MFCC_Mean_4,0.0897826285679665
angry,happy,_Chromagram_Mean_9,0.08973139907203222
angry,sad,_Chromagram_Mean_6,0.08869623650335733
happy,sad,_HarmonicChangeDetectionFunction_PeriodFreq,0.08844025300980903
happy,sad,_Chromagram_Mean_11,0.0875246811424316
happy,relax,_HarmonicChangeDetectionFunction_Mean,0.08447488436898716
angry,relax,_Chromagram_Mean_12,0.08437589975807244
relax,sad,_Fluctuation_Mean,0.08385160876457631
angry,happy,_MFCC_Mean_2,0.08071464306829651
angry,happy,_MFCC_Mean_9,0.07785783549040849
relax,sad,_EntropyofSpectrum_Mean,0.07770300014059014
happy,sad,_AttackTime_Slope,0.07659418860524975
angry,sad,_MFCC_Mean_4,0.07462064155115827
angry,relax,_AttackTime_Slope,0.07457578891496339
relax,sad,_HarmonicChangeDetectionFunction_PeriodAmp,0.07398897870997441
angry,sad,_Zero-crossingrate_Mean,0.07349424907266099
angry,happy,_Chromagram_Mean_4,0.07303913252245495
happy,sad,_HarmonicChangeDetectionFunction_PeriodEntropy,0.07293534015811919
relax,sad,_MFCC_Mean_7,0.07141452689117336
angry,relax,_Zero-crossingrate_Mean,0.07044075088837085
happy,sad,_Chromagram_Mean_3,0.06550206311455058
relax,sad,_Tempo_Mean,0.06304763790834836
happy,sad,_Chromagram_Mean_12,0.06129459415368693
angry,happy,_HarmonicChangeDetectionFunction_PeriodEntropy,0.06048607501836823
happy,sad,_MFCC_Mean_11,0.060464340999341074
angry,sad,_Chromagram_Mean_3,0.060144459663526
angry,happy,_MFCC_Mean_4,0.05855103763047186
happy,relax,_Spectralspread_Mean,0.05742124725086574
angry,happy,_Chromagram_Mean_5,0.056714628668461296
relax,sad,_MFCC_Mean_1,0.056565015046899265
angry,relax,_Lowenergy_Mean,0.056510286940876106
happy,sad,_Chromagram_Mean_10,0.055990404305495005
happy,sad,_MFCC_Mean_9,0.055469649214015156
angry,sad,_MFCC_Mean_13,0.05265880531442143
happy,relax,_Tempo_Mean,0.05051689341845627
relax,sad,_Chromagram_Mean_9,0.0486264149835823
happy,sad,_HarmonicChangeDetectionFunction_Mean,0.047133265018193045
angry,sad,_Spectralskewness_Mean,0.04602088032505485
angry,sad,_Chromagram_Mean_9,0.04430245932298574
relax,sad,_Spectralspread_Mean,0.043760565544727785
relax,sad,_Chromagram_Mean_11,0.043405340531747834
relax,sad,_HarmonicChangeDetectionFunction_Slope,0.04011116223567805
angry,relax,_Chromagram_Mean_8,0.038970660712068
angry,sad,_Spectralkurtosis_Mean,0.03762012738292876
happy,sad,_MFCC_Mean_3,0.03721763237040028
happy,sad,_MFCC_Mean_6,0.03660758457401061
angry,sad,_Chromagram_Mean_10,0.03587105785408618
relax,sad,_Chromagram_Mean_3,0.035581122119609
angry,sad,_MFCC_Mean_6,0.03531888493587581
relax,sad,_MFCC_Mean_13,0.03503241746497901
relax,sad,_MFCC_Mean_5,0.03488485287949556
angry,happy,_Roughness_Slope,0.03448712215659153
relax,sad,_MFCC_Mean_3,0.033899201539874566
angry,relax,_MFCC_Mean_3,0.03300240147792013
relax,sad,_AttackTime_Slope,0.03200684392713491
relax,sad,_Chromagram_Mean_4,0.03172590611311744
happy,relax,_Chromagram_Mean_8,0.03135765134771889
happy,relax,_MFCC_Mean_5,0.030931384274683595
angry,happy,_Lowenergy_Mean,0.029865352700835488
angry,happy,_HarmonicChangeDetectionFunction_Slope,0.028900013165203648
angry,sad,_MFCC_Mean_7,0.028435580103050726
angry,sad,_Spectralspread_Mean,0.02807789789012055
angry,sad,_Roughness_Slope,0.027743238168794326
happy,sad,_Fluctuation_Mean,0.027446385944864378
angry,happy,_AttackTime_Slope,0.02741952476638127
relax,sad,_HarmonicChangeDetectionFunction_PeriodFreq,0.026286861284804484
happy,sad,_Spectralflatness_Mean,0.026221192757967752
happy,relax,_MFCC_Mean_11,0.026219139310168282
angry,sad,_Rolloff_Mean,0.026204685760260322
happy,relax,_Spectralflatness_Mean,0.026188857441445796
happy,sad,_Lowenergy_Mean,0.02587183823384312
angry,sad,_MFCC_Mean_11,0.025839039997793366
relax,sad,_Chromagram_Mean_10,0.025471023018140013
angry,sad,_MFCC_Mean_5,0.025407017712092583
happy,sad,_Chromagram_Mean_5,0.024332305402445197
relax,sad,_Chromagram_Mean_8,0.02417305548259987
angry,happy,_HarmonicChangeDetectionFunction_PeriodAmp,0.023734394730629386
relax,sad,_Rolloff_Mean,0.02356717935179689
angry,sad,_Chromagram_Mean_12,0.02309128808709082
