principal_component,multiclass_fisher_score
PC2,0.6511089727567566
PC1,0.5232733725545902
PC3,0.30672455619341066
PC6,0.14121620960815914
PC15,0.05545722307636114
PC20,0.04570431049062348
PC21,0.044444799078365994
PC14,0.04440355318875487
PC44,0.03896624405575007
PC4,0.02983328514940532
PC25,0.028578543649625688
PC41,0.027838600540860087
PC26,0.027832885124203954
PC5,0.02025693107893559
PC27,0.018780802465983987
PC31,0.01777625562671333
PC29,0.01726800413433486
PC16,0.016464447636484972
PC12,0.016135739135243982
PC18,0.015415331927845697
PC10,0.01481466309472343
PC24,0.014724125670542949
PC45,0.01469006192969706
PC34,0.013351831542784255
PC17,0.012959626162682869
PC48,0.01260539997376002
PC35,0.012514791206581546
PC7,0.012184674070716061
PC36,0.011748002681538184
PC11,0.011499399515992787
PC40,0.010585675992955611
PC42,0.010399140683743912
PC23,0.00994550317611578
PC33,0.009343956835244782
PC19,0.008915149079358902
PC38,0.007014467723639409
PC9,0.007011466014964174
PC47,0.006742585884442068
PC13,0.00620990003147806
PC46,0.006152415796178285
PC22,0.005944964976827177
PC8,0.005480523115517464
PC32,0.0054610222086291585
PC28,0.004292131804031478
PC37,0.004261737391122661
PC39,0.003848006670250634
PC49,0.003474192458635836
PC50,0.003457731224762069
PC43,0.0012888838291037865
PC30,0.0007584642078005201
