,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
_RMSenergy_Mean,0.10792195316056791,-0.24859035296438167,-0.05070034462066871,0.00928129594025169,0.0787504600591433,0.2017903844352244,0.4163981168900805,0.07265192452616404,-0.12601513018338087,0.023720991304445285,-0.06517502585429098,-0.12406165013475685,0.059295445435276865,-0.04006848905604968,0.054509872381928226,0.06577455136453143,-0.0800831784137169,0.16815567363194553,0.07598606850355824,0.18056044532371607,0.23920402550668135,-0.05415108937103234,-0.04840271499122818,0.049558185526013356,0.0634827486077407,0.06468347487137474,-0.09607190934322737,0.025139873861418978,-0.012243669948525755,0.05106507575195675,0.017757208004258503,0.0838283384148486,0.049226365372728696,0.016317133098635226,0.009489926181098953,0.029548549962760486,-0.05919748033426608,0.027074099660694847,-0.055397695840168515,-0.13471671716948494,-0.06957615642747089,-0.1319192506079256,-0.51695600155306,0.2955949975418686,0.23361877417774102,0.11514123253890354,-0.08472475108522153,0.009802254396492705,-0.04964190503373118,0.008694668403419198
_Lowenergy_Mean,-0.03442909267051042,0.23708442715565348,-0.006749561749325603,0.012430670162030293,0.07957149782380052,-0.21478805399055695,-0.03773045203508521,-0.08994718844367527,-0.20811869014740453,0.2805575168834923,-0.03835107922119991,0.08973537227527777,-0.10652232750439034,0.14031736350354937,0.04095693785367468,0.24248322464290778,0.05368326563155175,0.35666740006676745,0.11437109090365018,0.021548255535526716,0.1425794904040189,0.04267697569465345,0.035188681256981234,0.35780210929003897,0.16003239513586828,0.07871250009371777,-0.032918121786888105,-0.17454546113372946,-0.09546105117172157,-0.029132143678885815,0.042935062098100885,0.01933266916015928,0.04020086082995554,-0.08946342467716639,0.015866793425207755,0.13193901138605776,0.14366219521230858,-0.348699763585755,-0.09284616995766276,-0.09502218716989327,0.3098115221301713,0.016960887333606053,0.02051033999966617,-0.03159398265896016,-0.02651765560629421,0.02386269579034249,-0.021814651388352507,0.008409390227620052,0.008082122221179464,-0.00690547951954915
_Fluctuation_Mean,0.002475676209370059,0.27270082741373564,0.09427005995905975,0.014417629367131627,0.08471681508726545,0.1042181185009198,0.1457568395177678,-0.1271845379872602,0.055491179764478066,-0.014114934223301245,-0.03595285473151699,0.1264335379898895,0.19888323532200947,0.16150177763697998,0.17439352872004085,-0.18073913849248233,-0.24647555084983147,-0.09180305012656931,0.14030166027970287,0.2711445376596408,-0.15884000143270394,-0.03825531441969351,-0.034226303130198324,-0.06974873808909879,-0.22058242264405656,-0.18968654745836244,0.07081798652472003,0.17309777162387463,-0.1508836230841542,0.17872005710737107,-0.10659051271907714,0.18707643222559678,0.014488936074663034,-0.24166524075188492,0.15336714851571995,0.41117915601967087,0.08750832105240962,-0.04091241922113891,-0.14407225329027723,0.0809548816928859,0.06788397571882086,-0.03480876088687625,0.011830116462708706,-0.037280243422882636,0.020211616712840427,0.009938293557166897,0.0161204855818063,0.001580987653021156,-0.0030098367272351663,-0.005909324626670629
_Tempo_Mean,0.03009693510270306,-0.02645033615079262,-0.0863172738170125,0.07052019122617902,0.05726830672540312,-0.06761012292134252,-0.15387522607544812,0.32072268574023594,0.09884761108657591,-0.025890073160245258,0.14931969765372988,0.13819606065907164,-0.14966029631674757,-0.09475643547891022,0.07720419685071885,0.36530227485492645,-0.2735737624727185,-0.29712402727880693,-0.27042932138985054,0.41422274195491976,0.027160693881191494,-0.25278716955671554,-0.025672962391378996,0.18183763990597743,0.1595372783003718,0.05857328908085892,0.1352156669625045,0.04351037426670942,-0.004848761257329311,-0.07408540613724657,-0.11709170965361992,0.028353208360356104,-0.17658911449224052,0.0737367132767625,0.11229243091687165,0.037001421378914275,0.020272589986293603,0.004993831644504182,-0.026660814640341826,1.756570341295352e-05,0.029615365552507794,-0.012973659591025463,-0.016370191752361818,-0.018986758645675422,-0.0035877449676921525,0.006327604352383845,0.01106351075176594,-0.007299792489237518,-0.003716950872585778,-0.003340487820565085
_MFCC_Mean_1,-0.27588506789848755,0.02629756299239483,0.05205656692633767,0.005392678276501205,0.0874484412107078,0.12100022805359423,0.17367380504100188,0.02613553077977665,-0.10161965651945924,-0.04084199786185656,0.07628839803462803,0.09197704492487005,-0.21518487631007605,0.10594151440178692,0.05319437504842343,0.008757992040629936,0.06545958330128657,-0.009641558264962158,-0.01755217479022836,0.027397679202397385,-0.14467572813883983,-0.0762837260522648,0.024611004674477244,-0.02341607931102921,0.05834309865459683,-0.010174304233384765,-0.06548591663154243,0.06182990725357686,-0.026069136760547364,-0.06954244965742888,-0.010836959442951773,-0.06996426131285577,0.03406759886266107,-0.027171904538219303,-0.004852506591983536,-0.024580046756447947,0.014964283346245236,0.04397447989549189,0.011376572218041024,0.05908164053789783,-0.028576998898250383,0.6412874312673786,0.12733539706576694,0.23839646424183894,0.11782614427965474,0.1810612772856791,-0.18041354727643794,0.37728042735828965,-0.09420602703471115,-0.03574862688831591
_MFCC_Mean_2,0.015249986478180088,0.18311075324487408,-0.23425516037251726,0.06640669436716433,0.2992868176016537,0.1843401743527895,0.05047720118788618,0.06492643571889677,-0.09469094639146812,-0.04920019338270924,0.04706639411438915,0.09285613861644063,0.016088865869441332,0.0645525133516684,-0.11716059795041536,0.08387510928671567,-0.13946874880039115,-0.05514501973553042,0.02562713180562421,-0.1926050312697246,0.17174755803264605,0.03205983027794895,-0.13678428038910959,-0.10994753961253653,-0.34679599066498235,0.014243555965790453,0.08318689032762851,-0.16054818761342426,0.0703274656017557,-0.2901179270466728,0.23408737988851896,-0.017272305800700327,-0.1599343092089999,0.018737796479176227,0.03968042399627804,-0.0901583999400637,0.1558229649551014,0.2053919383631549,-0.025009573472734914,0.21761958441717905,0.30127235123166596,-0.11542621715617914,-0.03149099413991858,0.100171933876487,-0.13278490001392534,0.1383908280866123,0.0016855463194625914,0.047326992672709504,-0.07734570900675881,-0.008442865229587712
_MFCC_Mean_3,-0.09423636094896702,-0.09796877257728812,-0.1073135964766847,-0.03924653782797574,0.07090267802855485,0.10941604687353068,-0.06047740786871729,-0.00015094084657018766,0.07304334434609847,0.12650546508761268,-0.17818091809471212,-0.09449791890439366,0.3698454690341987,-0.19239804944921912,0.018479576105350268,0.4438202211840953,0.017273138391962678,-0.20053864042809327,0.2870380255705507,0.014856808581865152,-0.20960709730026544,0.3291764068863065,0.013554829303285058,0.03509428859418777,-0.035866089335700985,-0.19679939262908197,0.036356223158861195,-0.28356729700939143,0.023020709643347678,0.02846164780218248,-0.09545618353661037,0.09370436833921664,-0.02364273117350431,0.11543752950239738,0.029837757857237707,0.03145415511605862,0.07608081778847997,-0.0349208901285714,0.13944316958660302,-0.04791913858368213,-0.04848115597303282,0.19935272157077122,0.004893172662175836,0.05208941088584457,0.06170365329120303,0.009349548482756986,0.01396628887472083,-0.022371163588229877,0.0478623936751324,0.025166603966816935
_MFCC_Mean_4,-0.011548742369027852,0.05443736489817799,-0.206975339826484,-0.04333789567395734,0.29644399634292473,0.25935342254504296,-0.09039084647628282,-0.14684852652906127,0.06003968162112322,0.11337943673506305,-0.06342023996883532,0.0471620058423729,0.0938629018900169,0.08902698271639113,0.0554317253875592,-0.05299500040446303,-0.16203474337107623,-0.03281743616776031,-0.03379315584809299,-0.09696253779807706,-0.25197063153095933,0.06027572540182567,0.07443259097711026,0.36530868461222316,0.02980104317510974,0.27100338164213933,-0.16253774749806277,0.33152376934043626,0.17455910296355204,0.15748336322354534,-0.11060265517163376,-0.09274290377859985,0.07771961372719692,0.18614737992410563,-0.08989381104937207,-0.12658088093896802,-0.30053196728020126,-0.04194905998457171,0.01692961808422694,0.08672711297946456,0.11643073813100566,-0.08652221714919639,0.03557775126998827,0.0553082287267459,-0.01749606393393785,0.020934364951811363,0.016276292729757627,-0.012586243577120737,-0.0012845367433914068,0.003705835242659508
_MFCC_Mean_5,-0.0026042950007247336,-0.03272941154014373,-0.10019019460452444,-0.025243113217734356,0.28234331135793683,0.11166452772562385,-0.3884789872754542,-0.11636066882858624,0.19055349062380275,0.030455465288507073,-0.09257920088099017,-0.017554367677167282,0.07060866139114286,0.10236416685276276,0.014598841373465649,0.0005719709843548942,0.12961351006332256,0.20325002069642856,-0.06923600139692666,0.2755171385352423,0.22774067808116402,-0.0358932949171313,-0.10318260948484739,-0.2908430426987332,-0.07716898615654558,0.11636949561244878,-0.11437140131620341,-0.09298080190039017,-0.28541018198645207,0.2861382885015762,-0.090014850103254,-0.3038064935747924,-0.04256980600388363,-0.007472255765163312,0.15280879377756848,-0.13624489308742116,0.07082828844055758,0.06873077164480676,-0.005748759604709872,-0.11487474623533389,-0.012331048195779695,0.09623220320484377,-0.009763223425145795,7.967002769909692e-05,0.021419528846323754,0.005559439328171767,-0.010270112563900646,0.024916653670031284,-0.013094027736672759,-0.0008463974972278271
_MFCC_Mean_6,-0.025583981352455907,-0.03572489175928876,-0.19819514391556847,-0.1544728892954678,0.2535627999393865,0.10897143447402959,-0.26957702474805656,-0.08521845082120676,0.056075826871205825,-0.03213311319133835,-0.04013256620436717,-0.10751093118853763,-0.20945083752615387,0.010102918778543862,0.04841466525525138,-0.22552262943072496,0.23289755680505053,0.00026305604718274145,0.18777043337989816,0.2283381753951203,-0.022631971425967956,-0.1190352906804137,0.12730270568195742,0.053550431102512605,0.2618233269442206,-0.10293423005566138,0.20121167382231225,-0.11624065774547326,0.0664465782486246,-0.05661353659225113,0.15270341696892586,0.46984322847974586,0.046618934065801976,-0.07862930020377396,-0.2329869748151818,0.01264873953095677,0.01443506495626981,0.16480447884761973,0.02360258949200719,0.09411629396357722,0.0011616862723297615,-0.028259158031308795,-0.04785025465947307,0.020338749139323556,-0.02001520113174024,-8.694264237144034e-05,0.014936918704194752,-0.004331707319284769,-0.017861301457022583,0.004953813248886538
