principal_component,feature,loading,abs_loading
PC1,_EntropyofSpectrum_Mean,0.3151331438539354,0.3151331438539354
PC1,_Spectralcentroid_Mean,0.310595449754892,0.310595449754892
PC1,_Spectralskewness_Mean,-0.3014288884508809,0.3014288884508809
PC1,_Brightness_Mean,0.29884721853113255,0.29884721853113255
PC1,_Spectralkurtosis_Mean,-0.2930022942028814,0.2930022942028814
PC1,_Rolloff_Mean,0.29180008323156126,0.29180008323156126
PC1,_MFCC_Mean_1,-0.27588506789848755,0.27588506789848755
PC1,_Spectralspread_Mean,0.2525252092178522,0.2525252092178522
PC1,_Zero-crossingrate_Mean,0.2512101486556325,0.2512101486556325
PC1,_Spectralflatness_Mean,0.18724473595955898,0.18724473595955898
PC2,_HarmonicChangeDetectionFunction_Std,0.33416782847591686,0.33416782847591686
PC2,_AttackTime_Mean,0.3223718441233539,0.3223718441233539
PC2,_Eventdensity_Mean,-0.318643997302384,0.318643997302384
PC2,_HarmonicChangeDetectionFunction_PeriodAmp,-0.2840862071206187,0.2840862071206187
PC2,_Fluctuation_Mean,0.27270082741373564,0.27270082741373564
PC2,_Roughness_Mean,-0.26802797686832386,0.26802797686832386
PC2,_RMSenergy_Mean,-0.24859035296438167,0.24859035296438167
PC2,_Lowenergy_Mean,0.23708442715565348,0.23708442715565348
PC2,_MFCC_Mean_2,0.18311075324487408,0.18311075324487408
PC2,_Spectralspread_Mean,0.17065463158779026,0.17065463158779026
PC49,_Spectralcentroid_Mean,0.5344012621579819,0.5344012621579819
PC49,_Brightness_Mean,-0.5252095758313667,0.5252095758313667
PC49,_Rolloff_Mean,-0.4450393817506086,0.4450393817506086
PC49,_Spectralskewness_Mean,-0.3996157374989339,0.3996157374989339
PC49,_Spectralkurtosis_Mean,0.20013907016224622,0.20013907016224622
PC49,_EntropyofSpectrum_Mean,0.11326834356361788,0.11326834356361788
PC49,_MFCC_Mean_1,-0.09420602703471115,0.09420602703471115
PC49,_MFCC_Mean_2,-0.07734570900675881,0.07734570900675881
PC49,_Spectralspread_Mean,0.054035053619929954,0.054035053619929954
PC49,_RMSenergy_Mean,-0.04964190503373118,0.04964190503373118
PC50,_Spectralskewness_Mean,0.583320565012787,0.583320565012787
PC50,_Spectralkurtosis_Mean,-0.5271634984852275,0.5271634984852275
PC50,_Spectralcentroid_Mean,0.5131899453848997,0.5131899453848997
PC50,_Spectralspread_Mean,-0.3076241138866268,0.3076241138866268
PC50,_Brightness_Mean,-0.11331445661350005,0.11331445661350005
PC50,_Zero-crossingrate_Mean,-0.06684983063883074,0.06684983063883074
PC50,_Rolloff_Mean,-0.04388583077165551,0.04388583077165551
PC50,_MFCC_Mean_1,-0.03574862688831591,0.03574862688831591
PC50,_MFCC_Mean_3,0.025166603966816935,0.025166603966816935
PC50,_EntropyofSpectrum_Mean,-0.02493007348652071,0.02493007348652071
