SOM_X,SOM_Y,winning_neuron,som_neuron_cluster
0,0,0_0,3
0,1,0_1,3
0,2,0_2,3
0,3,0_3,3
0,4,0_4,3
0,5,0_5,3
0,6,0_6,0
0,7,0_7,0
0,8,0_8,0
0,9,0_9,0
1,0,1_0,3
1,1,1_1,3
1,2,1_2,3
1,3,1_3,3
1,4,1_4,3
1,5,1_5,3
1,6,1_6,0
1,7,1_7,0
1,8,1_8,0
1,9,1_9,0
2,0,2_0,3
2,1,2_1,3
2,2,2_2,3
2,3,2_3,2
2,4,2_4,2
2,5,2_5,2
2,6,2_6,1
2,7,2_7,0
2,8,2_8,0
2,9,2_9,0
3,0,3_0,3
3,1,3_1,1
3,2,3_2,2
3,3,3_3,2
3,4,3_4,2
3,5,3_5,2
3,6,3_6,2
3,7,3_7,0
3,8,3_8,0
3,9,3_9,0
4,0,4_0,3
4,1,4_1,1
4,2,4_2,2
4,3,4_3,2
4,4,4_4,2
4,5,4_5,2
4,6,4_6,2
4,7,4_7,1
4,8,4_8,0
4,9,4_9,0
5,0,5_0,1
5,1,5_1,1
5,2,5_2,1
5,3,5_3,1
5,4,5_4,1
5,5,5_5,1
5,6,5_6,2
5,7,5_7,1
5,8,5_8,3
5,9,5_9,3
6,0,6_0,1
6,1,6_1,1
6,2,6_2,1
6,3,6_3,1
6,4,6_4,1
6,5,6_5,1
6,6,6_6,1
6,7,6_7,1
6,8,6_8,3
6,9,6_9,3
7,0,7_0,1
7,1,7_1,0
7,2,7_2,0
7,3,7_3,1
7,4,7_4,1
7,5,7_5,1
7,6,7_6,1
7,7,7_7,1
7,8,7_8,1
7,9,7_9,3
8,0,8_0,0
8,1,8_1,0
8,2,8_2,0
8,3,8_3,0
8,4,8_4,0
8,5,8_5,0
8,6,8_6,1
8,7,8_7,0
8,8,8_8,0
8,9,8_9,3
9,0,9_0,3
9,1,9_1,0
9,2,9_2,0
9,3,9_3,1
9,4,9_4,0
9,5,9_5,0
9,6,9_6,0
9,7,9_7,0
9,8,9_8,0
9,9,9_9,3
