winning_neuron,total_hits,majority_class,majority_count,purity,class_counts
1_7,7,happy,7,1.0,happy:7
1_8,7,happy,7,1.0,happy:7
7_3,7,angry,7,1.0,angry:7
5_4,7,angry,6,0.8571428571428571,angry:6; sad:1
0_4,7,relax,5,0.7142857142857143,relax:5; sad:2
0_8,6,happy,6,1.0,happy:6
9_4,6,happy,6,1.0,happy:6
9_0,6,relax,4,0.6666666666666666,relax:4; sad:2
4_5,6,sad,3,0.5,sad:3; angry:2; relax:1
2_2,5,relax,5,1.0,relax:5
5_0,5,angry,5,1.0,angry:5
5_1,5,angry,5,1.0,angry:5
6_0,5,angry,5,1.0,angry:5
8_1,5,happy,5,1.0,happy:5
8_3,5,angry,5,1.0,angry:5
9_3,5,angry,5,1.0,angry:5
9_5,5,happy,5,1.0,happy:5
9_6,5,happy,5,1.0,happy:5
0_7,5,happy,4,0.8,happy:4; angry:1
2_7,5,happy,4,0.8,happy:4; sad:1
7_1,5,angry,4,0.8,angry:4; happy:1
7_6,5,sad,4,0.8,sad:4; relax:1
8_6,5,happy,4,0.8,happy:4; sad:1
0_9,5,angry,3,0.6,angry:3; happy:1; sad:1
2_1,5,relax,3,0.6,relax:3; sad:2
2_3,5,relax,3,0.6,relax:3; sad:2
7_4,5,angry,3,0.6,angry:3; relax:1; sad:1
9_8,5,happy,3,0.6,happy:3; sad:2
3_7,5,relax,2,0.4,relax:2; happy:2; sad:1
5_7,5,relax,2,0.4,relax:2; sad:2; happy:1
0_1,4,sad,4,1.0,sad:4
0_2,4,sad,4,1.0,sad:4
2_6,4,sad,4,1.0,sad:4
3_8,4,happy,4,1.0,happy:4
4_3,4,relax,4,1.0,relax:4
4_6,4,sad,4,1.0,sad:4
5_5,4,sad,4,1.0,sad:4
6_1,4,angry,4,1.0,angry:4
6_2,4,angry,4,1.0,angry:4
7_0,4,angry,4,1.0,angry:4
7_2,4,angry,4,1.0,angry:4
8_5,4,happy,4,1.0,happy:4
9_7,4,happy,4,1.0,happy:4
0_5,4,relax,3,0.75,relax:3; sad:1
1_2,4,sad,3,0.75,sad:3; relax:1
6_6,4,sad,3,0.75,sad:3; relax:1
6_7,4,relax,3,0.75,relax:3; sad:1
6_8,4,relax,3,0.75,relax:3; sad:1
6_9,4,relax,3,0.75,relax:3; sad:1
7_8,4,sad,3,0.75,sad:3; angry:1
8_9,4,relax,3,0.75,relax:3; sad:1
0_6,4,relax,2,0.5,relax:2; sad:2
1_0,4,sad,2,0.5,sad:2; relax:1; angry:1
2_9,4,happy,2,0.5,happy:2; angry:2
6_4,4,angry,2,0.5,angry:2; relax:1; sad:1
7_7,4,sad,2,0.5,sad:2; relax:1; angry:1
8_4,4,angry,2,0.5,angry:2; happy:1; sad:1
0_3,3,sad,3,1.0,sad:3
1_4,3,sad,3,1.0,sad:3
1_9,3,happy,3,1.0,happy:3
3_0,3,relax,3,1.0,relax:3
4_4,3,relax,3,1.0,relax:3
5_3,3,angry,3,1.0,angry:3
5_6,3,relax,3,1.0,relax:3
5_8,3,relax,3,1.0,relax:3
6_3,3,angry,3,1.0,angry:3
0_0,3,relax,2,0.6666666666666666,relax:2; sad:1
1_3,3,sad,2,0.6666666666666666,sad:2; relax:1
1_5,3,relax,2,0.6666666666666666,relax:2; sad:1
2_0,3,relax,2,0.6666666666666666,relax:2; sad:1
2_5,3,relax,2,0.6666666666666666,relax:2; sad:1
3_2,3,relax,2,0.6666666666666666,relax:2; sad:1
3_3,3,sad,2,0.6666666666666666,sad:2; relax:1
3_5,3,relax,2,0.6666666666666666,relax:2; sad:1
3_9,3,happy,2,0.6666666666666666,happy:2; sad:1
4_7,3,angry,2,0.6666666666666666,angry:2; sad:1
4_8,3,happy,2,0.6666666666666666,happy:2; sad:1
4_9,3,relax,2,0.6666666666666666,relax:2; happy:1
5_2,3,angry,2,0.6666666666666666,angry:2; sad:1
5_9,3,relax,2,0.6666666666666666,relax:2; sad:1
6_5,3,sad,2,0.6666666666666666,sad:2; relax:1
7_5,3,sad,2,0.6666666666666666,sad:2; happy:1
8_0,3,angry,2,0.6666666666666666,angry:2; happy:1
8_8,3,happy,2,0.6666666666666666,happy:2; angry:1
9_1,3,happy,2,0.6666666666666666,happy:2; relax:1
9_2,3,happy,2,0.6666666666666666,happy:2; relax:1
9_9,3,angry,2,0.6666666666666666,angry:2; relax:1
2_8,3,happy,1,0.3333333333333333,happy:1; sad:1; angry:1
3_1,3,relax,1,0.3333333333333333,relax:1; happy:1; sad:1
8_2,3,relax,1,0.3333333333333333,relax:1; happy:1; angry:1
1_1,2,relax,2,1.0,relax:2
3_4,2,relax,2,1.0,relax:2
4_2,2,angry,2,1.0,angry:2
7_9,2,relax,2,1.0,relax:2
2_4,2,relax,1,0.5,relax:1; sad:1
3_6,2,sad,1,0.5,sad:1; angry:1
4_1,2,sad,1,0.5,sad:1; angry:1
1_6,1,sad,1,1.0,sad:1
4_0,1,relax,1,1.0,relax:1
8_7,1,happy,1,1.0,happy:1
