SOM_X,SOM_Y,winning_neuron,true_class,som_cluster,SOM_X_jitter,SOM_Y_jitter
2,4,2_4,relax,2,2.0243773663803544,4.022101934346284
4,3,4_3,relax,2,3.9168012715007605,2.886978729288611
5,9,5_9,relax,3,5.0600360956645165,8.815191725069388
2,2,2_2,relax,3,2.075245177311297,2.0043482868312306
6,6,6_6,relax,1,5.843917184907693,5.962257917308933
1,5,1_5,relax,3,0.8958256394510146,5.036750861737329
4,3,4_3,relax,2,4.010227232253383,3.0561562900977015
6,9,6_9,relax,3,5.974700592612513,9.011059314564694
4,4,4_4,relax,2,3.998655907399657,4.060810646830069
0,5,0_5,relax,3,-0.06824351420588641,5.0183369099292054
4,4,4_4,relax,2,4.070351837989026,4.042405176448117
5,8,5_8,relax,3,5.062223354834316,7.9436261389704095
5,6,5_6,relax,2,5.005282455804897,5.985631086893483
0,4,0_4,relax,3,0.09017929655744263,4.015742087732557
2,1,2_1,relax,3,2.037400747380164,1.0656422780333936
8,9,8_9,relax,3,7.9312566029693405,8.968500706222034
2,2,2_2,relax,3,2.0295000627266,2.041693380458569
6,8,6_8,relax,3,5.92328939193368,7.97873289664677
1,5,1_5,relax,3,1.070276024104582,4.990596626613749
0,6,0_6,relax,0,-0.003994072878900232,6.066361523361926
6,8,6_8,relax,3,5.985211010916379,7.8405551703156675
8,2,8_2,relax,0,7.945525636447685,1.8962822137540192
4,5,4_5,relax,2,4.097803307093923,4.881425168204574
8,9,8_9,relax,3,7.987637641434496,8.813310710412136
7,4,7_4,relax,1,6.965733774226951,3.945738844787586
3,5,3_5,relax,2,2.9718293159609415,5.059954711978219
6,4,6_4,relax,1,6.042584734844268,3.977209274689394
5,6,5_6,relax,2,5.029235525149126,6.015823206555348
9,2,9_2,relax,0,9.033018608927678,2.0871373997368634
2,3,2_3,relax,2,2.0344656802406305,3.1062148905814153
4,0,4_0,relax,3,4.171331808069637,-0.005531034778091164
3,2,3_2,relax,2,2.967486798689231,2.108286871165552
3,3,3_3,relax,2,2.959020581674277,3.007370132674729
2,3,2_3,relax,2,1.9348981817401698,2.933008142093803
4,4,4_4,relax,2,4.04927835380604,3.952447971824101
1,2,1_2,relax,3,1.0903177834176714,1.8815570789947986
6,9,6_9,relax,3,5.99088420338761,8.928949291701308
1,1,1_1,relax,3,0.9327874818429978,0.9713586649540457
5,8,5_8,relax,3,4.934041502744701,8.064286801550288
0,0,0_0,relax,3,0.05204742302597609,0.1376615864932787
4,3,4_3,relax,2,4.059460333696276,2.889425478769837
0,6,0_6,relax,0,0.0434523414644156,6.031426197460793
8,9,8_9,relax,3,7.946759223416905,8.916756484867397
0,5,0_5,relax,3,0.018572905845337582,5.037975767077056
4,9,4_9,relax,0,4.009334864731258,8.989513067944982
3,2,3_2,relax,2,3.017495087738321,1.8535275339321975
5,7,5_7,relax,1,5.069714302235855,7.074263759325479
1,1,1_1,relax,3,1.0178876439019746,0.9515999429753015
6,5,6_5,relax,1,6.054313085045751,4.957287980930116
2,0,2_0,relax,3,2.0054063255591115,-0.08558019290317519
3,0,3_0,relax,3,3.023129551895199,-0.052342662135004436
9,1,9_1,relax,0,9.050503058067083,1.0342312352555934
5,6,5_6,relax,2,4.883427534411546,5.984860452725088
0,4,0_4,relax,3,-0.02557369730858411,4.026292960182598
2,0,2_0,relax,3,1.9623701876565764,0.028953748314307495
7,7,7_7,relax,1,6.948889772140532,7.105652932442253
4,9,4_9,relax,0,3.9779886199018653,8.97257710793085
7,6,7_6,relax,1,7.119595304898752,5.881851374652341
3,4,3_4,relax,2,2.9307335107445405,4.085377793325758
6,7,6_7,relax,1,6.077462268367318,6.97348094623222
3,4,3_4,relax,2,2.865370418270736,4.08916739556619
6,7,6_7,relax,1,5.973209197601138,7.030670169054598
7,9,7_9,relax,3,7.0130202452084,8.989508997583732
2,1,2_1,relax,3,2.046897786508742,1.0279020715237035
3,0,3_0,relax,3,3.0568981263834285,0.15608100481010398
9,9,9_9,relax,3,9.063467778815994,9.166158442324301
5,8,5_8,relax,3,4.972101994220125,8.005550490810622
9,0,9_0,relax,3,8.963011856586835,0.012815247465366025
9,0,9_0,relax,3,9.068638070500572,0.08609921259731085
9,0,9_0,relax,3,8.984695654009471,-0.06765288262138777
3,0,3_0,relax,3,2.8979450941329663,0.02664562980946041
3,7,3_7,relax,0,2.9093370228797215,6.997930972163691
4,3,4_3,relax,2,3.9264438171198712,3.0251126569166042
2,3,2_3,relax,2,2.039772859524301,2.9333304955240473
2,5,2_5,relax,2,2.0113940588856454,4.872834600535282
0,4,0_4,relax,3,0.05523882832542146,3.8341613251206965
6,9,6_9,relax,3,5.965819788293078,8.910609270960832
2,2,2_2,relax,3,2.012683175286137,1.9633059772048533
5,9,5_9,relax,3,5.050047231517387,8.9765446730681
1,3,1_3,relax,3,0.9752522768223809,3.154978492994361
2,2,2_2,relax,3,2.036542019004593,2.088479469592584
2,2,2_2,relax,3,1.9470459247146679,1.92303271069267
3,5,3_5,relax,2,2.9709556922747944,5.0278166761960765
3,7,3_7,relax,0,2.9694609684801336,6.967433741091974
0,4,0_4,relax,3,-0.09566717164712317,3.9772508929567922
0,5,0_5,relax,3,0.03895779846284655,5.01482605195323
0,0,0_0,relax,3,-0.03755218721621791,0.049533689358031464
0,4,0_4,relax,3,0.0009995294982149943,3.972859321289279
3,1,3_1,relax,1,3.0384597327124725,1.0851081226187487
2,1,2_1,relax,3,2.0357224940823957,0.9086449419086077
9,0,9_0,relax,3,9.053230808717823,0.0005071249889814753
2,5,2_5,relax,2,1.9921211612392462,5.207813898127666
6,8,6_8,relax,3,5.966136135036468,8.017846379410022
6,7,6_7,relax,1,5.993622543127488,7.114657160528494
1,0,1_0,relax,3,0.8650132452833577,0.007321614253856654
5,7,5_7,relax,1,4.884231002206153,7.046462167626384
7,9,7_9,relax,3,6.894184031011648,8.995457344448585
1,7,1_7,happy,0,0.9202202537918814,6.986367393506864
8,4,8_4,happy,0,8.031981938137875,3.9376414082619666
1,8,1_8,happy,0,0.9275616755711952,8.034424108716605
9,5,9_5,happy,0,8.969746995676848,4.9318770248651385
2,7,2_7,happy,0,2.103938263822885,7.053246818905074
1,8,1_8,happy,0,0.971498882315086,8.086822960355672
9,4,9_4,happy,0,9.059001245477367,4.029322512578978
0,7,0_7,happy,0,-0.07468941440079016,6.9771001013155445
8,8,8_8,happy,0,7.98356499537059,8.036317246344696
0,8,0_8,happy,0,-0.0760017643928465,7.975306155556287
9,1,9_1,happy,0,8.972877353927956,1.074843770037212
1,8,1_8,happy,0,1.0672246509965917,7.85348751326279
9,4,9_4,happy,0,8.861814366144612,3.9731514105505084
8,6,8_6,happy,1,8.03475389148367,5.84073504039008
1,7,1_7,happy,0,1.0190188481865823,6.880395133581824
8,0,8_0,happy,0,7.952468003544256,0.10910897838511276
9,8,9_8,happy,0,8.884315371648924,8.071614798557734
1,9,1_9,happy,0,1.0057703606171096,8.942441581337217
0,8,0_8,happy,0,-0.042359416725104196,7.8797997235167285
9,4,9_4,happy,0,9.018614096908376,3.762837692972668
3,8,3_8,happy,0,3.0017481716418755,7.956520359365389
9,5,9_5,happy,0,9.128142311305673,5.193633200979792
9,5,9_5,happy,0,8.980851549802159,5.034790741717091
2,9,2_9,happy,0,1.918120200590251,8.955234217116042
1,7,1_7,happy,0,1.0143420507965053,7.037206416760024
5,7,5_7,happy,1,5.0175997347177415,6.875123331760444
3,9,3_9,happy,0,3.108735006019235,8.97621413098419
9,6,9_6,happy,0,9.066808899673166,6.007958197841259
9,1,9_1,happy,0,9.02854968473196,0.9931119478543161
7,1,7_1,happy,0,7.117064231297565,1.0632644897352064
8,5,8_5,happy,0,7.904898955654172,5.027571618098884
9,6,9_6,happy,0,8.94881987738002,6.05346608144864
9,6,9_6,happy,0,8.925873924687558,5.944930217421539
9,6,9_6,happy,0,8.968815215747538,6.071825232672844
9,4,9_4,happy,0,8.889865108195496,4.1303149558099195
8,7,8_7,happy,0,8.050812075745153,6.922388038427887
0,8,0_8,happy,0,-0.01777781576790187,7.928984347542835
0,8,0_8,happy,0,-0.11766450356021263,8.106862746905618
9,8,9_8,happy,0,8.918753673503396,7.984692481064395
0,7,0_7,happy,0,0.025081107796015623,7.112305711365325
1,9,1_9,happy,0,1.0670501254315505,8.964597143048625
4,9,4_9,happy,0,4.159738471335343,9.116403646101658
8,1,8_1,happy,0,8.233108997280587,1.0105188653444361
8,1,8_1,happy,0,8.03315275466208,1.0206583058658156
1,7,1_7,happy,0,0.9208369503974508,7.125177441733593
0,9,0_9,happy,0,-0.17056370245850475,8.971058361804467
8,1,8_1,happy,0,8.021416916987507,0.9247102323260034
1,9,1_9,happy,0,0.9349647123751739,8.964114863357732
9,4,9_4,happy,0,8.966771419185624,4.036186716051451
8,6,8_6,happy,1,7.951032256075216,5.874739274225559
8,5,8_5,happy,0,7.988736729086689,5.050997672212089
1,7,1_7,happy,0,1.0852784184630115,6.95689829459058
9,7,9_7,happy,0,9.012563885395627,7.091825012858685
3,8,3_8,happy,0,2.9873092130369048,7.808459175607962
0,8,0_8,happy,0,-0.08285230022606493,7.937074737991667
9,2,9_2,happy,0,8.86602536442365,1.8650825479012718
0,8,0_8,happy,0,-0.03890463272586647,7.933901642690884
0,7,0_7,happy,0,-0.00430260406546564,7.019813272088715
9,4,9_4,happy,0,9.14143439308639,3.9856618699640194
8,1,8_1,happy,0,8.010421961717832,0.9797297944841588
2,7,2_7,happy,0,2.0786191608818445,6.987265210289595
0,7,0_7,happy,0,-0.03994364788313216,7.016271059249595
8,1,8_1,happy,0,7.905204498686638,0.9193171166445514
9,6,9_6,happy,0,8.92279065902141,6.056547971271924
9,2,9_2,happy,0,8.94198191483714,2.0530132776308387
1,7,1_7,happy,0,1.1702775785948132,7.030803035012488
7,5,7_5,happy,1,6.934289065662049,5.044522675420101
1,7,1_7,happy,0,1.0670791362989076,7.023713440064693
2,7,2_7,happy,0,1.927765825753038,7.162805864218486
9,5,9_5,happy,0,9.07452584102994,4.993032466315799
9,5,9_5,happy,0,9.03079607728847,4.9754333425332335
3,8,3_8,happy,0,2.9874689681873527,7.939717793571409
1,8,1_8,happy,0,0.9967389979091653,7.917418986353773
2,9,2_9,happy,0,1.9476169843656488,8.900442256991914
3,9,3_9,happy,0,3.0356857761185663,8.928896214941526
8,5,8_5,happy,0,7.963601321572738,4.994345569467835
