SOM_X,SOM_Y,Class
6,7,relax
5,4,relax
3,9,relax
3,4,relax
3,7,relax
4,8,relax
5,4,relax
1,0,relax
6,7,relax
4,8,relax
6,7,relax
7,2,relax
6,8,relax
3,8,relax
1,5,relax
2,0,relax
4,4,relax
2,8,relax
4,8,relax
0,2,relax
2,8,relax
8,1,relax
6,7,relax
2,9,relax
1,7,relax
5,6,relax
5,3,relax
5,5,relax
1,8,relax
4,5,relax
3,6,relax
5,2,relax
5,4,relax
4,5,relax
6,7,relax
4,7,relax
0,0,relax
3,4,relax
1,6,relax
1,6,relax
6,6,relax
1,1,relax
2,0,relax
3,8,relax
1,0,relax
5,8,relax
5,2,relax
1,6,relax
6,4,relax
3,9,relax
5,3,relax
1,8,relax
6,8,relax
4,9,relax
3,9,relax
6,3,relax
3,8,relax
6,5,relax
5,5,relax
3,7,relax
5,5,relax
5,3,relax
1,1,relax
3,4,relax
3,4,relax
0,6,relax
2,8,relax
0,5,relax
0,6,relax
1,7,relax
3,6,relax
9,4,relax
6,6,relax
4,5,relax
5,7,relax
1,6,relax
0,0,relax
4,4,relax
1,5,relax
4,6,relax
4,4,relax
4,4,relax
5,6,relax
9,4,relax
3,8,relax
3,8,relax
2,4,relax
4,9,relax
8,9,relax
3,4,relax
0,5,relax
5,7,relax
1,0,relax
8,4,relax
1,4,relax
5,2,relax
1,0,relax
0,3,happy
8,3,happy
5,0,happy
8,2,happy
1,9,happy
0,9,happy
9,1,happy
7,0,happy
0,8,happy
0,9,happy
0,3,happy
0,9,happy
9,1,happy
7,3,happy
1,8,happy
0,5,happy
8,2,happy
8,0,happy
0,9,happy
9,5,happy
0,4,happy
9,2,happy
9,0,happy
2,1,happy
0,7,happy
1,9,happy
6,1,happy
9,1,happy
0,9,happy
0,7,happy
9,3,happy
9,2,happy
9,2,happy
9,1,happy
9,1,happy
7,4,happy
0,9,happy
9,0,happy
2,2,happy
6,0,happy
7,0,happy
7,2,happy
6,1,happy
4,0,happy
0,7,happy
0,9,happy
2,1,happy
8,0,happy
9,0,happy
7,3,happy
9,3,happy
0,9,happy
8,2,happy
9,4,happy
0,9,happy
1,8,happy
0,9,happy
6,0,happy
9,4,happy
2,1,happy
4,2,happy
6,0,happy
6,1,happy
9,1,happy
0,4,happy
1,9,happy
2,6,happy
1,9,happy
6,1,happy
8,2,happy
8,3,happy
7,1,happy
5,0,happy
2,1,happy
6,2,happy
9,3,happy
7,1,happy
8,0,happy
9,0,happy
8,1,happy
7,2,happy
6,1,happy
8,0,happy
2,2,happy
8,1,happy
9,3,happy
7,3,happy
7,3,happy
2,1,happy
9,3,happy
8,9,happy
8,0,happy
9,4,happy
7,2,happy
5,0,happy
7,1,happy
8,4,sad
1,3,sad
6,6,sad
4,5,sad
6,6,sad
2,7,sad
2,6,sad
2,9,sad
6,3,sad
1,4,sad
6,6,sad
8,3,sad
6,8,sad
5,3,sad
1,3,sad
1,4,sad
6,9,sad
2,5,sad
4,9,sad
2,5,sad
6,9,sad
5,2,sad
0,0,sad
5,3,sad
6,3,sad
2,6,sad
8,4,sad
6,2,sad
4,7,sad
2,5,sad
3,5,sad
7,6,sad
5,6,sad
5,4,sad
5,2,sad
8,1,sad
2,7,sad
3,5,sad
4,6,sad
2,2,sad
7,3,sad
3,7,sad
0,4,sad
7,3,sad
7,9,sad
1,2,sad
7,9,sad
7,9,sad
7,5,sad
7,5,sad
1,8,sad
0,2,sad
1,8,sad
3,7,sad
6,4,sad
3,2,sad
5,3,sad
2,4,sad
1,5,sad
0,2,sad
3,3,sad
3,5,sad
8,8,sad
8,9,sad
1,4,sad
8,0,sad
3,8,sad
4,7,sad
3,5,sad
6,2,sad
8,3,sad
6,8,sad
1,7,sad
2,6,sad
4,7,sad
6,5,sad
7,4,sad
0,4,sad
2,3,sad
0,1,sad
8,5,sad
3,2,sad
6,5,sad
7,4,sad
4,9,sad
8,4,sad
7,5,sad
5,9,sad
6,7,sad
5,7,sad
6,5,sad
8,3,sad
1,8,sad
1,4,sad
0,5,sad
2,5,sad
0,5,sad
3,5,sad
9,9,angry
8,7,angry
8,9,angry
5,0,angry
4,1,angry
3,1,angry
5,1,angry
4,2,angry
9,8,angry
9,7,angry
4,1,angry
4,3,angry
8,7,angry
8,6,angry
2,3,angry
9,5,angry
9,9,angry
4,2,angry
8,7,angry
4,3,angry
3,3,angry
9,5,angry
4,0,angry
4,0,angry
9,4,angry
9,9,angry
7,8,angry
9,7,angry
3,1,angry
6,9,angry
1,4,angry
9,5,angry
8,5,angry
8,7,angry
7,5,angry
4,0,angry
8,9,angry
8,7,angry
0,8,angry
7,8,angry
9,5,angry
9,8,angry
9,9,angry
8,7,angry
8,3,angry
9,9,angry
8,8,angry
5,1,angry
7,7,angry
8,8,angry
9,9,angry
6,0,angry
3,0,angry
9,5,angry
4,1,angry
3,1,angry
9,8,angry
7,7,angry
2,0,angry
9,5,angry
9,6,angry
9,5,angry
3,1,angry
9,6,angry
9,6,angry
9,6,angry
7,7,angry
8,8,angry
5,1,angry
3,1,angry
8,6,angry
8,8,angry
9,7,angry
4,1,angry
8,5,angry
0,8,angry
9,9,angry
7,7,angry
8,0,angry
4,0,angry
8,5,angry
1,3,angry
8,5,angry
4,2,angry
7,6,angry
7,6,angry
8,0,angry
8,5,angry
1,9,angry
3,1,angry
7,8,angry
0,8,angry
8,7,angry
4,0,angry
9,9,angry
9,8,angry
8,8,angry
