TSNE1,TSNE2,Class
19.5004,8.09368,relax
18.241508,6.0233374,relax
-4.5703244,12.034362,relax
3.2429523,7.5035725,relax
12.575279,10.621271,relax
3.3927045,18.27706,relax
17.031937,3.787654,relax
-0.9236091,8.145736,relax
22.167751,3.236363,relax
4.3340077,16.394207,relax
22.168743,3.2346582,relax
-6.6151166,5.369123,relax
12.499509,4.552292,relax
-1.5440123,16.14984,relax
-3.0991364,14.60423,relax
9.710254,-8.289857,relax
10.128544,13.015757,relax
-4.5609374,7.836525,relax
4.4642253,17.194191,relax
-12.639614,7.1860733,relax
-4.393064,7.848575,relax
-10.279703,-3.8419313,relax
18.615427,2.2972975,relax
1.7524123,-2.9352105,relax
6.5241194,12.372058,relax
22.8176,10.538395,relax
10.753154,3.9791763,relax
14.173133,9.691749,relax
-6.5437636,2.6758628,relax
10.543111,15.009744,relax
12.84955,-8.558148,relax
18.935163,-2.8749146,relax
16.917368,5.198291,relax
12.997894,12.78719,relax
19.643759,7.3644853,relax
5.536393,15.472111,relax
-1.5316563,9.337118,relax
-1.3900715,12.373531,relax
5.7635436,13.163917,relax
2.5259757,20.967815,relax
17.8598,4.2304244,relax
-2.5647752,0.34474054,relax
-5.51235,10.027282,relax
-9.463414,11.440882,relax
-7.1862407,7.9061165,relax
20.146252,-2.414051,relax
2.3797798,6.1969633,relax
-2.0242813,11.825852,relax
10.819376,7.6641426,relax
21.146458,-4.381682,relax
14.201826,4.0511217,relax
-7.438124,2.2667785,relax
3.2338917,4.697919,relax
0.7147315,18.607819,relax
21.075275,-4.298014,relax
5.8991976,5.3120246,relax
-7.833253,9.081032,relax
8.427704,6.090782,relax
21.332308,6.4167447,relax
-6.661436,13.181204,relax
21.427694,7.2729597,relax
15.894289,-2.6978145,relax
1.6042182,-13.391357,relax
4.28384,9.255892,relax
6.305487,8.529045,relax
1.3653829,-0.7747308,relax
-0.7662203,0.27371225,relax
9.63098,-12.227969,relax
-0.14673962,-3.07401,relax
6.779423,11.862977,relax
5.534054,8.131392,relax
-7.0017123,-10.844331,relax
17.334171,5.050598,relax
11.209464,13.873551,relax
20.188921,11.075867,relax
1.2361215,19.900055,relax
-1.5543317,7.788554,relax
9.851518,13.168666,relax
-1.2529647,4.8833447,relax
15.408987,12.193465,relax
16.110502,7.4109344,relax
15.622707,7.527918,relax
