TSNE1,TSNE2,Class,kmeans_cluster_on_tsne
-3.0810118,-26.424694,relax,0
0.52566916,-26.531244,relax,0
-15.5761175,-26.431087,relax,3
-13.733524,-5.5292363,relax,3
11.930787,-31.009298,relax,0
-18.14107,-15.772921,relax,3
1.9181634,-24.531292,relax,0
-19.729713,-2.8238964,relax,3
-1.7928156,-22.717016,relax,0
-15.136796,-15.367253,relax,3
-1.6946043,-22.490335,relax,0
-19.450287,8.800013,relax,3
6.4022202,-20.249363,relax,0
-25.015299,-11.124947,relax,3
-28.032488,-13.930567,relax,3
-11.579156,4.8691144,relax,3
-6.667633,-19.810856,relax,3
-20.173933,6.629368,relax,3
-16.41686,-15.557375,relax,3
-16.96074,21.807764,relax,1
-20.756285,6.3151135,relax,3
2.8303375,34.48013,relax,1
2.5949643,-21.81867,relax,0
-12.9930525,6.842491,relax,3
-19.390175,2.6640644,relax,3
-26.27622,-34.863503,relax,3
-7.940061,-11.721266,relax,3
15.763538,-19.315952,relax,0
-1.1713035,19.306278,relax,1
-9.165597,-21.79878,relax,3
-19.512995,-25.002504,relax,3
20.480299,-23.537386,relax,0
3.224262,-25.85259,relax,0
14.046846,-20.756124,relax,0
-2.7157316,-25.161102,relax,0
-13.092942,-15.412915,relax,3
-21.529785,-3.9775894,relax,3
-26.1802,-17.866207,relax,3
-21.250772,2.432653,relax,3
-28.210485,-0.6077094,relax,3
3.9322572,-24.080616,relax,0
-13.820758,18.110699,relax,1
-25.326096,6.6916423,relax,3
-24.668028,14.242438,relax,1
12.286723,3.6244676,relax,2
20.599922,-21.580435,relax,0
-12.362797,-6.638172,relax,3
-27.509315,-18.19834,relax,3
13.424095,-9.802457,relax,0
-21.252207,-28.034327,relax,3
10.019338,-20.11529,relax,0
-0.61008954,20.362997,relax,1
7.4280825,-21.587921,relax,0
-29.123156,-4.5926948,relax,3
-21.74344,-28.162329,relax,3
15.8003845,-5.077755,relax,2
-22.827705,11.450842,relax,3
14.473971,-26.154934,relax,0
-0.5772883,-30.454657,relax,0
11.087248,-2.0760443,relax,2
-1.7654697,-29.886436,relax,0
-3.5883043,-15.242239,relax,0
11.649182,9.008153,relax,2
-21.895887,-22.173532,relax,3
-18.04447,-22.650444,relax,3
-13.549325,-26.100664,relax,3
-16.31565,7.340814,relax,3
-16.367676,2.774469,relax,3
1.7581347,9.978569,relax,2
-18.216143,2.8221226,relax,3
-19.372875,-23.678356,relax,3
20.32783,4.853937,relax,2
3.8349783,-25.043716,relax,0
-7.044099,-21.653624,relax,3
-27.612339,-30.634449,relax,3
-29.181877,-2.4038212,relax,3
-20.09839,-1.6689458,relax,3
-7.296534,-19.397192,relax,3
-18.268194,-32.906773,relax,3
-8.447907,-15.986107,relax,3
3.8324316,-28.450169,relax,0
3.085013,-28.50021,relax,0
-26.208755,-35.099407,relax,3
19.7851,2.8103323,relax,2
-24.360487,-8.323671,relax,3
-24.903408,14.250939,relax,1
-24.041864,-21.861624,relax,3
-29.021952,-4.770426,relax,3
6.2781744,-18.090014,relax,0
-22.11206,-22.026333,relax,3
-16.14563,3.0036254,relax,3
-27.77457,-30.511408,relax,3
-24.583296,7.141476,relax,3
19.087362,-0.45858058,relax,2
-14.8973675,-32.094322,relax,3
-11.567965,-7.209696,relax,3
-17.866873,-3.3776333,relax,3
-5.1606092,22.45227,happy,1
24.40367,-0.6845516,happy,2
-8.513164,34.095543,happy,1
12.38897,31.205923,happy,1
4.9951906,19.319878,happy,1
-8.147862,27.494707,happy,1
12.563598,24.606173,happy,1
-12.112255,34.078415,happy,1
-1.899536,37.52155,happy,1
-5.0063424,27.064257,happy,1
0.28272992,22.677975,happy,1
-8.029392,28.39251,happy,1
9.460726,25.27975,happy,1
22.531712,-2.6822486,happy,2
-6.2890086,24.422209,happy,1
-0.2732706,2.8264768,happy,2
9.968,14.376125,happy,2
-7.266764,37.498325,happy,1
-3.8159325,28.044796,happy,1
13.78624,24.035099,happy,1
20.942982,7.721811,happy,2
9.9369335,33.909954,happy,1
11.986008,35.368477,happy,1
1.256278,13.762666,happy,2
-6.136411,18.879272,happy,1
-3.9558985,15.906658,happy,1
0.5530647,10.736583,happy,2
