feature,class_a,class_b,pairwise_fisher_distance,cohens_d_abs
_HarmonicChangeDetectionFunction_Std,angry,relax,3.612846307847531,2.6880648458848406
_Zero-crossingrate_Mean,happy,relax,3.568087214058179,2.673935346026131
_HarmonicChangeDetectionFunction_PeriodAmp,happy,relax,2.7398675380942916,2.336258734226364
_Eventdensity_Mean,happy,relax,2.634594379544228,2.295750962287687
_HarmonicChangeDetectionFunction_Std,angry,sad,2.570556071842425,2.267425840470654
_HarmonicChangeDetectionFunction_Std,happy,relax,2.158938622299761,2.0761950659917723
_HarmonicChangeDetectionFunction_PeriodAmp,happy,sad,2.1406659092518554,2.0616449342127003
_Zero-crossingrate_Mean,angry,happy,2.0151804621275247,2.0077706731610387
_Pulseclarity_Mean,happy,relax,1.866692968060701,1.9346186602971585
_Pulseclarity_Mean,happy,sad,1.848906927838184,1.9281068055560335
_Brightness_Mean,happy,relax,1.6851648542656457,1.8335546870109842
_HarmonicChangeDetectionFunction_PeriodAmp,angry,relax,1.6074423215012679,1.7930099394585348
_EntropyofSpectrum_Mean,happy,relax,1.5535854103884263,1.7593203359089822
_Zero-crossingrate_Mean,happy,sad,1.4838614545514135,1.7239013626062831
_EntropyofSpectrum_Mean,happy,sad,1.412179010192778,1.6756458675893806
_Fluctuation_Mean,angry,relax,1.2976759473063701,1.6110095886146811
_MFCC_Mean_1,happy,relax,1.2948619753407768,1.6075015631827736
_HarmonicChangeDetectionFunction_Mean,angry,happy,1.2795261040252324,1.5982910118671398
_HarmonicChangeDetectionFunction_Std,happy,sad,1.2614300538527718,1.5863468291007263
_Eventdensity_Mean,happy,sad,1.2409361655094968,1.5743688809379621
_Eventdensity_Mean,angry,relax,1.1955394547629443,1.5463113882791975
_HarmonicChangeDetectionFunction_PeriodAmp,angry,sad,1.119179599949607,1.4957629598590578
_Fluctuation_Mean,angry,happy,1.1152308468276522,1.4939964460262498
_EntropyofSpectrum_Mean,angry,happy,1.063972014585376,1.4564144903536662
_Brightness_Mean,happy,sad,1.012078623925475,1.4200495796224244
_MFCC_Mean_1,happy,sad,0.8663160104170416,1.3140286799438825
_Fluctuation_Mean,angry,sad,0.7882237408407603,1.2551762394820465
_HarmonicChangeDetectionFunction_Mean,angry,sad,0.7725465226608554,1.2435877524567467
_Brightness_Mean,angry,happy,0.7390698730328011,1.2146057902219602
_Pulseclarity_Mean,angry,happy,0.5946880290992305,1.0910198850553698
_HarmonicChangeDetectionFunction_Mean,angry,relax,0.585251627712115,1.0818979875304404
_Eventdensity_Mean,angry,sad,0.5550546616892602,1.0544439952790752
_MFCC_Mean_1,angry,relax,0.5094562136568586,1.00941192152269
_HarmonicChangeDetectionFunction_Std,angry,happy,0.44376999795226557,0.9414858949974269
_Zero-crossingrate_Mean,relax,sad,0.36106592051964365,0.8492409364091883
_Pulseclarity_Mean,angry,relax,0.30186686626277753,0.7770030453765764
_Pulseclarity_Mean,angry,sad,0.28386168792680777,0.7542344755643233
_MFCC_Mean_1,angry,sad,0.25213946554605643,0.7101287577850668
_Brightness_Mean,angry,relax,0.20188517474962187,0.635429263961468
_Eventdensity_Mean,relax,sad,0.14240708673094218,0.5334438257679105
_HarmonicChangeDetectionFunction_Std,relax,sad,0.13639177019743354,0.5224047820075169
_MFCC_Mean_1,angry,happy,0.12290613628114046,0.4953632934955913
_Brightness_Mean,relax,sad,0.11570189669535197,0.481217954663325
_EntropyofSpectrum_Mean,angry,relax,0.11245851658098148,0.47425418623521515
_HarmonicChangeDetectionFunction_Mean,happy,relax,0.08447488436898716,0.4107434442783237
_Fluctuation_Mean,relax,sad,0.08385160876457631,0.40962740449043794
_EntropyofSpectrum_Mean,relax,sad,0.07770300014059014,0.3945174203613916
_HarmonicChangeDetectionFunction_PeriodAmp,relax,sad,0.07398897870997441,0.38480150348047126
_Zero-crossingrate_Mean,angry,sad,0.07349424907266099,0.38348645349845556
_Zero-crossingrate_Mean,angry,relax,0.07044075088837085,0.37534184655654745
_MFCC_Mean_1,relax,sad,0.056565015046899265,0.33643628592432245
_HarmonicChangeDetectionFunction_Mean,happy,sad,0.047133265018193045,0.30675523853683107
_Fluctuation_Mean,happy,sad,0.027446385944864378,0.23430911295212828
_HarmonicChangeDetectionFunction_PeriodAmp,angry,happy,0.023734394730629386,0.21750381784719566
_Eventdensity_Mean,angry,happy,0.018889130916544507,0.1941569176342828
_Fluctuation_Mean,happy,relax,0.017139502923833306,0.18510167558522708
_Brightness_Mean,angry,sad,0.014225917029076445,0.1686814169572636
_HarmonicChangeDetectionFunction_Mean,relax,sad,0.006590433045013169,0.11483918897429984
_EntropyofSpectrum_Mean,angry,sad,0.005643578906890731,0.10626038025398114
_Pulseclarity_Mean,relax,sad,0.0009201261653667777,0.04290301473614
