feature,multiclass_fisher_score_duplicate_cleaned,multiclass_fisher_score_duplicate_cleaned_iqr_capped,multiclass_fisher_score_raw,rank_duplicate_cleaned,rank_duplicate_cleaned_iqr_capped,rank_raw
_AttackTime_Mean,0.17576399400605344,0.28687918971407755,0.1834948442732191,12.0,11.0,11.0
_Brightness_Mean,0.4175565632649537,0.419162614769239,0.4225813316860067,6.0,7.0,6.0
_EntropyofSpectrum_Mean,0.3998261483299701,0.4214033988109659,0.4096555438785071,7.0,6.0,7.0
_Eventdensity_Mean,0.6234388507176636,0.6415414500291831,0.6523845365727146,5.0,5.0,5.0
_Fluctuation_Mean,0.1834834126706597,0.3949170441186846,0.18347431126179242,11.0,8.0,12.0
_HarmonicChangeDetectionFunction_Mean,0.37022408996285694,0.37068965280372135,0.35294611937636117,8.0,9.0,8.0
_HarmonicChangeDetectionFunction_PeriodAmp,0.904615779614789,0.929150173420396,0.9235381869574681,3.0,3.0,3.0
_HarmonicChangeDetectionFunction_Std,1.3129872300761682,1.3283851329234433,1.342643940269009,1.0,1.0,1.0
_MFCC_Mean_1,0.3420381798918012,0.36992481422438145,0.34549777285761685,9.0,10.0,9.0
_Pulseclarity_Mean,0.6631053112425093,0.6932096985488874,0.6577693680297557,4.0,4.0,4.0
_Spectralcentroid_Mean,0.21056304849097762,0.20982349340488762,0.20766520740025862,10.0,12.0,10.0
_Zero-crossingrate_Mean,0.9606324201685299,0.985252211668721,0.9458397135667751,2.0,2.0,2.0
