feature,multiclass_fisher_score,rank,variant
_HarmonicChangeDetectionFunction_Std,1.342643940269009,1,raw
_Zero-crossingrate_Mean,0.9458397135667751,2,raw
_HarmonicChangeDetectionFunction_PeriodAmp,0.9235381869574681,3,raw
_Pulseclarity_Mean,0.6577693680297557,4,raw
_Eventdensity_Mean,0.6523845365727146,5,raw
_Brightness_Mean,0.4225813316860067,6,raw
_EntropyofSpectrum_Mean,0.4096555438785071,7,raw
_HarmonicChangeDetectionFunction_Mean,0.35294611937636117,8,raw
_MFCC_Mean_1,0.34549777285761685,9,raw
_Spectralcentroid_Mean,0.20766520740025862,10,raw
_AttackTime_Mean,0.1834948442732191,11,raw
_Fluctuation_Mean,0.18347431126179242,12,raw
_MFCC_Mean_2,0.1647513200597182,13,raw
_Roughness_Mean,0.15082782004432893,14,raw
_Spectralskewness_Mean,0.1418473883574408,15,raw
_Chromagram_Mean_7,0.12151694037727698,16,raw
_Rolloff_Mean,0.11908028488682393,17,raw
_Roughness_Slope,0.11220548539991211,18,raw
_RMSenergy_Mean,0.10668431405201681,19,raw
_MFCC_Mean_4,0.09192889864045296,20,raw
_MFCC_Mean_3,0.08822717169653113,21,raw
_Chromagram_Mean_11,0.07890522986941946,22,raw
_HarmonicChangeDetectionFunction_PeriodFreq,0.07821806753402595,23,raw
_Chromagram_Mean_6,0.07762388848854956,24,raw
_Chromagram_Mean_1,0.07488956243676366,25,raw
_MFCC_Mean_7,0.07030149790364898,26,raw
_Chromagram_Mean_2,0.06773319556722429,27,raw
_Spectralkurtosis_Mean,0.05800677530894306,28,raw
_Spectralspread_Mean,0.05566088212025871,29,raw
_Chromagram_Mean_8,0.04782790834556908,30,raw
_AttackTime_Slope,0.046060516627981635,31,raw
_Chromagram_Mean_12,0.044715814527762465,32,raw
_HarmonicChangeDetectionFunction_PeriodEntropy,0.04385875490865241,33,raw
_MFCC_Mean_6,0.041880829089720725,34,raw
_Lowenergy_Mean,0.03643038586814583,35,raw
_Chromagram_Mean_9,0.03420094516565847,36,raw
_Tempo_Mean,0.03411323729134489,37,raw
_HarmonicChangeDetectionFunction_Slope,0.024741273339292998,38,raw
_Chromagram_Mean_3,0.022571357855411714,39,raw
