principal_component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio,variant
PC1,8.515603797385076,0.16988629575783215,0.16988629575783215,raw
PC2,3.7793209668915932,0.07539745328948724,0.2452837490473194,raw
PC3,3.4563215427597043,0.06895361477805606,0.3142373638253755,raw
PC4,2.2890496762720605,0.04566654104162758,0.3599039048670031,raw
PC5,2.2226091202409326,0.04434105194880658,0.40424495681580963,raw
PC6,1.979310018975027,0.03948723487855176,0.4437321916943614,raw
PC7,1.670943363515621,0.03333532010213662,0.47706751179649803,raw
PC8,1.6229511553985023,0.0323778755502001,0.5094453873466981,raw
PC9,1.4615467322471445,0.029157857308330516,0.5386032446550286,raw
PC10,1.3768183904669142,0.027467526889814922,0.5660707715448435,raw
PC11,1.340839630808032,0.02674975063462022,0.5928205221794638,raw
PC12,1.2573254820306266,0.025083643366510984,0.6179041655459748,raw
PC13,1.225651623115565,0.024451749881155505,0.6423559154271303,raw
PC14,1.1890142464143585,0.02372083421596644,0.6660767496430968,raw
PC15,1.054452450577632,0.021036326389023745,0.6871130760321206,raw
PC16,0.9832409091110442,0.01961565613676532,0.7067287321688859,raw
PC17,0.9552821422352885,0.019057878737593993,0.7257866109064799,raw
PC18,0.9104813418805668,0.018164102770517297,0.7439507136769972,raw
PC19,0.9000171414876021,0.017955341972677653,0.7619060556496748,raw
PC20,0.8578755421455004,0.017114617065802723,0.7790206727154776,raw
PC21,0.7882737195815319,0.01572606070565155,0.7947467334211291,raw
PC22,0.7561126664344991,0.015084447695368248,0.8098311811164973,raw
PC23,0.7425000749592798,0.014812876495437624,0.8246440576119349,raw
PC24,0.7078829896003936,0.014122265642527844,0.8387663232544628,raw
PC25,0.6769915241522552,0.013505980906837483,0.8522723041613003,raw
PC26,0.635633184951452,0.01268088203978146,0.8649531862010817,raw
PC27,0.6082159806252688,0.012133908813474106,0.8770870950145558,raw
PC28,0.5705698673344691,0.011382868853322651,0.8884699638678785,raw
PC29,0.5487652785692485,0.010947867307456501,0.8994178311753349,raw
PC30,0.520757291030067,0.01038910795604983,0.9098069391313848,raw
PC31,0.48793553875173357,0.009734313998097079,0.9195412531294819,raw
PC32,0.4616379854915724,0.009209677810556864,0.9287509309400387,raw
PC33,0.41837626211361423,0.0083466064291666,0.9370975373692053,raw
PC34,0.41652392121417947,0.008309652228222875,0.9454071895974282,raw
PC35,0.3584542142984371,0.0071511615752538156,0.9525583511726821,raw
PC36,0.3564159758324942,0.007110498717858254,0.9596688498905404,raw
PC37,0.33948996741062987,0.0067728248498420615,0.9664416747403825,raw
PC38,0.31477637720325785,0.00627978872520499,0.9727214634655874,raw
PC39,0.29505112639777825,0.0058862699716356725,0.9786077334372231,raw
PC40,0.24199943934792292,0.00482788881499106,0.9834356222522141,raw
PC41,0.2214996486766178,0.004418917991098522,0.9878545402433127,raw
PC42,0.1906084645043273,0.0038026388668613276,0.9916571791101739,raw
PC43,0.13103108994244408,0.002614070244351758,0.9942712493545257,raw
PC44,0.10135393912426845,0.0020220110855291543,0.9962932604400548,raw
PC45,0.06644620288641129,0.0013256017475839043,0.9976188621876387,raw
PC46,0.04559204193854387,0.0009095612366739496,0.9985284234243127,raw
PC47,0.04240107693925426,0.000845901484938122,0.9993743249092508,raw
PC48,0.01676947711514088,0.00033455106844706035,0.9997088759776979,raw
PC49,0.0101775129432135,0.0002030413832171092,0.999911917360915,raw
PC50,0.004415169878947704,8.808263908500664e-05,1.0,raw
PC1,8.464015354920722,0.16884401764712978,0.16884401764712978,duplicate_cleaned
PC2,3.8428896731087607,0.07665970636562318,0.24550372401275294,duplicate_cleaned
PC3,3.435544074928676,0.06853379159780396,0.3140375156105569,duplicate_cleaned
PC4,2.297147215712118,0.0458245346639479,0.3598620502745048,duplicate_cleaned
PC5,2.1913468531834557,0.043713981040309116,0.4035760313148139,duplicate_cleaned
PC6,1.9745752291191059,0.039389722354076985,0.4429657536688909,duplicate_cleaned
PC7,1.6597125960520127,0.03310869972536745,0.47607445339425836,duplicate_cleaned
PC8,1.604784701388197,0.032012973166867624,0.5080874265611259,duplicate_cleaned
PC9,1.4897124525318723,0.02971745974896053,0.5378048863100865,duplicate_cleaned
PC10,1.384536071230353,0.02761935358588383,0.5654242398959703,duplicate_cleaned
PC11,1.351389912842991,0.02695813898300192,0.5923823788789723,duplicate_cleaned
PC12,1.2413947786008155,0.024763906150438934,0.6171462850294112,duplicate_cleaned
PC13,1.2110164418760985,0.024157905309590198,0.6413041903390013,duplicate_cleaned
PC14,1.1805980990358265,0.023551106408601266,0.6648552967476026,duplicate_cleaned
PC15,1.0672403384214657,0.021289794379850877,0.6861450911274535,duplicate_cleaned
PC16,0.9628531321705844,0.019207431038660617,0.7053525221661141,duplicate_cleaned
PC17,0.9618661099469428,0.019187741471621993,0.724540263637736,duplicate_cleaned
PC18,0.920164590375964,0.0183558606430669,0.742896124280803,duplicate_cleaned
PC19,0.9112230013506297,0.018177489769211005,0.761073614050014,duplicate_cleaned
PC20,0.8527109614479697,0.01701026505568887,0.7780838791057029,duplicate_cleaned
PC21,0.8047365103104266,0.01605324894279046,0.7941371280484933,duplicate_cleaned
PC22,0.7508546029061898,0.014978388212613158,0.8091155162611066,duplicate_cleaned
PC23,0.7464384451451784,0.014890292694390923,0.8240058089554975,duplicate_cleaned
PC24,0.7073363203679683,0.014110265772288846,0.8381160747277863,duplicate_cleaned
PC25,0.6754538514790871,0.013474259820742606,0.8515903345485288,duplicate_cleaned
PC26,0.6397866888157993,0.012762755081016194,0.864353089629545,duplicate_cleaned
PC27,0.6137592591925876,0.012243548108635632,0.8765966377381806,duplicate_cleaned
PC28,0.5755107237920587,0.011480548974614773,0.8880771867127955,duplicate_cleaned
PC29,0.5569646408694899,0.011110583299819201,0.8991877700126146,duplicate_cleaned
PC30,0.5203099950746254,0.010379379798653604,0.9095671498112682,duplicate_cleaned
PC31,0.4781231313018725,0.00953781710380539,0.9191049669150736,duplicate_cleaned
PC32,0.4568624201995299,0.009113698794701957,0.9282186657097755,duplicate_cleaned
PC33,0.4259737936902856,0.008497518461759817,0.9367161841715353,duplicate_cleaned
PC34,0.4185643045910854,0.008349710612203607,0.9450658947837389,duplicate_cleaned
PC35,0.36474604924025167,0.007276119642060687,0.9523420144257996,duplicate_cleaned
PC36,0.3620124781114107,0.007221589125212158,0.9595636035510118,duplicate_cleaned
PC37,0.34635863351105106,0.006909319132411169,0.966472922683423,duplicate_cleaned
PC38,0.3113732510242787,0.0062114148529069995,0.97268433753633,duplicate_cleaned
PC39,0.29406037020447,0.00586604965304793,0.9785503871893779,duplicate_cleaned
PC40,0.24491158970988489,0.004885607485449763,0.9834359946748277,duplicate_cleaned
PC41,0.22307845947570948,0.00445007029985049,0.9878860649746781,duplicate_cleaned
PC42,0.18788041134915862,0.0037479236696971313,0.9916339886443752,duplicate_cleaned
PC43,0.13279449066067336,0.002649044736375287,0.9942830333807505,duplicate_cleaned
PC44,0.10150905824815762,0.0020249487392802567,0.9963079821200308,duplicate_cleaned
PC45,0.06462276066543828,0.001289124143171371,0.9975971062632022,duplicate_cleaned
PC46,0.04601516501608163,0.0009179313845991537,0.9985150376478014,duplicate_cleaned
PC47,0.04290187949129331,0.0008558261527386856,0.9993708638005401,duplicate_cleaned
PC48,0.016729341683411992,0.0003337244964680638,0.9997045882970081,duplicate_cleaned
PC49,0.010417428035598336,0.00020781157988538937,0.9999123998768935,duplicate_cleaned
PC50,0.004391324000684434,8.760012310643686e-05,1.0,duplicate_cleaned
PC1,8.877002238283957,0.17708246733071603,0.17708246733071603,duplicate_cleaned_iqr_capped
PC2,4.2213215262107235,0.08420883663111081,0.26129130396182687,duplicate_cleaned_iqr_capped
PC3,3.379621705938538,0.06741822681434093,0.3287095307761678,duplicate_cleaned_iqr_capped
PC4,2.2795960186233355,0.04547441542305313,0.37418394619922096,duplicate_cleaned_iqr_capped
PC5,2.1588369558026463,0.043065458860599176,0.4172494050598201,duplicate_cleaned_iqr_capped
PC6,2.027086459446597,0.040437240196176956,0.45768664525599706,duplicate_cleaned_iqr_capped
PC7,1.6633862522034444,0.033181983484676957,0.490868628740674,duplicate_cleaned_iqr_capped
PC8,1.622039804564333,0.032357185792082306,0.5232258145327563,duplicate_cleaned_iqr_capped
PC9,1.4265796901322039,0.02845805876707025,0.5516838732998266,duplicate_cleaned_iqr_capped
PC10,1.3626919846475412,0.02718359783807208,0.5788674711378987,duplicate_cleaned_iqr_capped
PC11,1.3601859861579986,0.027133607043461103,0.6060010781813598,duplicate_cleaned_iqr_capped
