feature,q1,q3,iqr,lower_bound,upper_bound,below_lower_before,above_upper_before,total_capped_values
_RMSenergy_Mean,0.08475,0.17325,0.08849999999999998,-0.04799999999999997,0.30599999999999994,0,3,3
_Lowenergy_Mean,0.5255000000000001,0.5842499999999999,0.05874999999999986,0.4373750000000003,0.6723749999999997,6,4,10
_Fluctuation_Mean,5.8635,7.804,1.9405000000000001,2.95275,10.71475,0,12,12
_Tempo_Mean,101.49025,148.98625,47.49600000000001,30.24624999999999,220.23025,0,0,0
_MFCC_Mean_1,1.94325,2.86425,0.9210000000000003,0.5617499999999995,4.245750000000001,2,12,14
_MFCC_Mean_2,-0.25525,0.42125,0.6765,-1.27,1.436,4,3,7
_MFCC_Mean_3,0.28125,0.6902499999999999,0.4089999999999999,-0.33224999999999993,1.30375,1,2,3
_MFCC_Mean_4,-0.12175,0.19825,0.32,-0.60175,0.67825,10,1,11
_MFCC_Mean_5,0.062,0.296,0.23399999999999999,-0.289,0.647,5,4,9
_MFCC_Mean_6,-0.07825,0.15225,0.23049999999999998,-0.424,0.498,8,7,15
_MFCC_Mean_7,-0.04125,0.17225,0.2135,-0.3615,0.49249999999999994,7,1,8
_MFCC_Mean_8,-0.05125,0.134,0.18525,-0.329125,0.411875,6,6,12
_MFCC_Mean_9,-0.074,0.12,0.194,-0.36500000000000005,0.41100000000000003,5,6,11
_MFCC_Mean_10,-0.0615,0.12525,0.18675,-0.341625,0.40537500000000004,8,4,12
_MFCC_Mean_11,-0.044,0.11325,0.15725,-0.279875,0.349125,9,2,11
_MFCC_Mean_12,-0.056,0.099,0.155,-0.2885,0.3315,7,1,8
_MFCC_Mean_13,-0.0455,0.10125,0.14675,-0.265625,0.32137499999999997,11,3,14
_Roughness_Mean,166.36575,734.3725,568.00675,-685.6443750000001,1586.382625,0,17,17
_Roughness_Slope,-0.02725,0.175,0.20224999999999999,-0.33062499999999995,0.47837499999999994,5,4,9
_Zero-crossingrate_Mean,592.275,1303.49275,711.2177499999999,-474.55162499999994,2370.319375,0,6,6
_AttackTime_Mean,0.023,0.03325,0.010250000000000002,0.007624999999999996,0.048625,0,37,37
_AttackTime_Slope,-0.093,0.089,0.182,-0.366,0.362,3,2,5
_Rolloff_Mean,3938.31575,7355.88625,3417.5704999999994,-1188.0399999999986,12482.241999999998,0,0,0
_Eventdensity_Mean,1.737,3.575,1.838,-1.02,6.332000000000001,0,3,3
_Pulseclarity_Mean,0.12775,0.3255,0.19775,-0.16887500000000003,0.622125,0,12,12
_Brightness_Mean,0.35075,0.528,0.17725000000000002,0.08487499999999998,0.7938750000000001,1,0,1
_Spectralcentroid_Mean,1975.8735000000001,3182.5697499999997,1206.6962499999995,165.8291250000009,4992.614124999999,0,3,3
_Spectralspread_Mean,2520.46325,3684.32525,1163.862,774.6702499999997,5430.1182499999995,0,0,0
_Spectralskewness_Mean,1.32725,2.1825,0.8552500000000001,0.04437499999999983,3.4653750000000003,0,17,17
_Spectralkurtosis_Mean,3.8815,7.849,3.9675000000000002,-2.06975,13.80025,0,31,31
_Spectralflatness_Mean,0.029,0.062,0.033,-0.0205,0.1115,0,9,9
_EntropyofSpectrum_Mean,0.853,0.899,0.04600000000000004,0.7839999999999999,0.9680000000000001,12,0,12
_Chromagram_Mean_1,0.05775,0.553,0.49525,-0.6851250000000001,1.295875,0,0,0
_Chromagram_Mean_2,0.019,0.39275000000000004,0.37375,-0.541625,0.9533750000000001,0,18,18
_Chromagram_Mean_3,0.07975,0.5745,0.49475,-0.662375,1.3166250000000002,0,0,0
_Chromagram_Mean_4,0.01675,0.315,0.29825,-0.43062500000000004,0.762375,0,20,20
_Chromagram_Mean_5,0.08875,0.5327500000000001,0.44400000000000006,-0.5772500000000002,1.1987500000000002,0,0,0
_Chromagram_Mean_6,0.0215,0.4505,0.429,-0.622,1.0939999999999999,0,0,0
_Chromagram_Mean_7,0.02575,0.39075000000000004,0.36500000000000005,-0.52175,0.9382500000000001,0,21,21
_Chromagram_Mean_8,0.10275,0.61925,0.5165,-0.6719999999999999,1.394,0,0,0
_Chromagram_Mean_9,0.0685,0.612,0.5435,-0.74675,1.42725,0,0,0
_Chromagram_Mean_10,0.2605,1.0,0.7395,-0.8487500000000001,2.1092500000000003,0,0,0
_Chromagram_Mean_11,0.06275,0.55775,0.495,-0.67975,1.30025,0,0,0
_Chromagram_Mean_12,0.06175,0.692,0.63025,-0.883625,1.637375,0,0,0
_HarmonicChangeDetectionFunction_Mean,0.29074999999999995,0.36724999999999997,0.07650000000000001,0.17599999999999993,0.482,2,1,3
_HarmonicChangeDetectionFunction_Std,0.16,0.226,0.066,0.061,0.325,1,3,4
_HarmonicChangeDetectionFunction_Slope,-0.058,0.06325,0.12125,-0.239875,0.245125,6,4,10
_HarmonicChangeDetectionFunction_PeriodFreq,0.961,2.243,1.282,-0.9620000000000001,4.166,0,6,6
_HarmonicChangeDetectionFunction_PeriodAmp,0.725,0.8232499999999999,0.09824999999999995,0.577625,0.9706249999999998,6,0,6
_HarmonicChangeDetectionFunction_PeriodEntropy,0.965,0.969,0.0040000000000000036,0.959,0.975,13,3,16
