class_a,class_b,feature,pairwise_fisher_distance,cohens_d,cohens_d_abs
angry,relax,_HarmonicChangeDetectionFunction_Std,3.612846307847531,-2.6880648458848406,2.6880648458848406
happy,relax,_Zero-crossingrate_Mean,3.568087214058179,2.673935346026131,2.673935346026131
happy,relax,_HarmonicChangeDetectionFunction_PeriodAmp,2.7398675380942916,2.336258734226364,2.336258734226364
happy,relax,_Eventdensity_Mean,2.634594379544228,2.295750962287687,2.295750962287687
angry,sad,_HarmonicChangeDetectionFunction_Std,2.570556071842425,-2.267425840470654,2.267425840470654
happy,relax,_HarmonicChangeDetectionFunction_Std,2.158938622299761,-2.0761950659917723,2.0761950659917723
happy,sad,_HarmonicChangeDetectionFunction_PeriodAmp,2.1406659092518554,2.0616449342127003,2.0616449342127003
angry,happy,_Zero-crossingrate_Mean,2.0151804621275247,-2.0077706731610387,2.0077706731610387
happy,relax,_Pulseclarity_Mean,1.866692968060701,1.9346186602971585,1.9346186602971585
happy,sad,_Pulseclarity_Mean,1.848906927838184,1.9281068055560335,1.9281068055560335
happy,relax,_Brightness_Mean,1.6851648542656457,1.8335546870109842,1.8335546870109842
angry,relax,_HarmonicChangeDetectionFunction_PeriodAmp,1.6074423215012679,1.7930099394585348,1.7930099394585348
happy,relax,_EntropyofSpectrum_Mean,1.5535854103884263,1.7593203359089822,1.7593203359089822
happy,sad,_Zero-crossingrate_Mean,1.4838614545514135,1.7239013626062831,1.7239013626062831
happy,sad,_EntropyofSpectrum_Mean,1.412179010192778,1.6756458675893806,1.6756458675893806
angry,relax,_Fluctuation_Mean,1.2976759473063701,-1.6110095886146811,1.6110095886146811
happy,relax,_MFCC_Mean_1,1.2948619753407768,-1.6075015631827736,1.6075015631827736
angry,happy,_HarmonicChangeDetectionFunction_Mean,1.2795261040252324,-1.5982910118671398,1.5982910118671398
happy,sad,_HarmonicChangeDetectionFunction_Std,1.2614300538527718,-1.5863468291007263,1.5863468291007263
happy,sad,_Eventdensity_Mean,1.2409361655094968,1.5743688809379621,1.5743688809379621
angry,relax,_Eventdensity_Mean,1.1955394547629443,1.5463113882791975,1.5463113882791975
angry,sad,_HarmonicChangeDetectionFunction_PeriodAmp,1.119179599949607,1.4957629598590578,1.4957629598590578
angry,happy,_Fluctuation_Mean,1.1152308468276522,-1.4939964460262498,1.4939964460262498
angry,happy,_EntropyofSpectrum_Mean,1.063972014585376,-1.4564144903536662,1.4564144903536662
happy,sad,_Brightness_Mean,1.012078623925475,1.4200495796224244,1.4200495796224244
happy,sad,_MFCC_Mean_1,0.8663160104170416,-1.3140286799438825,1.3140286799438825
angry,sad,_Fluctuation_Mean,0.7882237408407603,-1.2551762394820465,1.2551762394820465
happy,sad,_Spectralskewness_Mean,0.7795966588319295,-1.2455401961436086,1.2455401961436086
angry,sad,_HarmonicChangeDetectionFunction_Mean,0.7725465226608554,-1.2435877524567467,1.2435877524567467
angry,sad,_AttackTime_Mean,0.7541829113046729,-1.2274501675710598,1.2274501675710598
angry,happy,_Brightness_Mean,0.7390698730328011,-1.2146057902219602,1.2146057902219602
happy,sad,_Spectralcentroid_Mean,0.7201066059256617,1.2000228769617887,1.2000228769617887
happy,sad,_Spectralkurtosis_Mean,0.6629385021680502,-1.1474461302135959,1.1474461302135959
happy,relax,_MFCC_Mean_2,0.6595203657798083,-1.1477998552785635,1.1477998552785635
angry,relax,_AttackTime_Mean,0.6367872434305278,-1.1285275747003707,1.1285275747003707
angry,happy,_Pulseclarity_Mean,0.5946880290992305,-1.0910198850553698,1.0910198850553698
angry,relax,_HarmonicChangeDetectionFunction_Mean,0.585251627712115,-1.0818979875304404,1.0818979875304404
happy,relax,_Spectralcentroid_Mean,0.5840015908930551,1.0801130150913216,1.0801130150913216
angry,sad,_Eventdensity_Mean,0.5550546616892602,1.0544439952790752,1.0544439952790752
angry,happy,_Chromagram_Mean_7,0.5545043008818129,-1.0548365160834485,1.0548365160834485
happy,sad,_Rolloff_Mean,0.526611400876735,1.026396076832521,1.026396076832521
angry,relax,_MFCC_Mean_1,0.5094562136568586,-1.00941192152269,1.00941192152269
happy,relax,_Spectralskewness_Mean,0.4809735528648057,-0.9791431142862447,0.9791431142862447
angry,happy,_Spectralcentroid_Mean,0.47117354195789096,-0.9703928683047949,0.9703928683047949
angry,happy,_Spectralskewness_Mean,0.4677209411537056,0.9661709579382911,0.9661709579382911
angry,happy,_HarmonicChangeDetectionFunction_Std,0.44376999795226557,-0.9414858949974269,0.9414858949974269
angry,sad,_Chromagram_Mean_7,0.44126215944770814,-0.9377682617386329,0.9377682617386329
angry,happy,_Spectralkurtosis_Mean,0.43899301027420345,0.9355985325821209,0.9355985325821209
angry,relax,_Roughness_Slope,0.4141096972253191,-0.9100655989813919,0.9100655989813919
angry,relax,_MFCC_Mean_2,0.39973331798696704,-0.8941289817317176,0.8941289817317176
angry,happy,_MFCC_Mean_3,0.3969393198051066,0.8908793480144308,0.8908793480144308
happy,sad,_AttackTime_Mean,0.38742100017095604,-0.8775400460073327,0.8775400460073327
angry,happy,_MFCC_Mean_7,0.3686345482320135,0.8591843779308062,0.8591843779308062
happy,relax,_Spectralkurtosis_Mean,0.3643641040599207,-0.8519650337770626,0.8519650337770626
relax,sad,_Zero-crossingrate_Mean,0.36106592051964365,-0.8492409364091883,0.8492409364091883
happy,relax,_Roughness_Mean,0.3560950785575479,0.8446087612679714,0.8446087612679714
relax,sad,_MFCC_Mean_2,0.33702022681455396,0.8206727285757398,0.8206727285757398
happy,sad,_Roughness_Mean,0.32294844477111045,0.8044391342281676,0.8044391342281676
angry,relax,_Roughness_Mean,0.3210285316507369,0.8012846331363611,0.8012846331363611
angry,relax,_Chromagram_Mean_7,0.30448431526582254,-0.7803644216201949,0.7803644216201949
happy,relax,_AttackTime_Mean,0.30400516470147815,-0.7784471341284189,0.7784471341284189
angry,relax,_Pulseclarity_Mean,0.30186686626277753,0.7770030453765764,0.7770030453765764
angry,happy,_Rolloff_Mean,0.29692848700704366,-0.7705535987901355,0.7705535987901355
angry,sad,_Roughness_Mean,0.2946838331870256,0.7682428747189327,0.7682428747189327
angry,sad,_Pulseclarity_Mean,0.28386168792680777,0.7542344755643233,0.7542344755643233
happy,relax,_Chromagram_Mean_11,0.2533673039838986,0.7117860042888514,0.7117860042888514
angry,sad,_MFCC_Mean_1,0.25213946554605643,-0.7101287577850668,0.7101287577850668
relax,sad,_MFCC_Mean_4,0.2471789065011089,0.7033206549853479,0.7033206549853479
happy,relax,_Roughness_Slope,0.24052561043428686,-0.6932810584764094,0.6932810584764094
happy,relax,_MFCC_Mean_4,0.23907828840600495,-0.6908411732024649,0.6908411732024649
angry,sad,_RMSenergy_Mean,0.23903628335938948,0.6915959624586666,0.6915959624586666
angry,happy,_Chromagram_Mean_1,0.23336013681622697,-0.6832134954040986,0.6832134954040986
angry,relax,_RMSenergy_Mean,0.2323337256901732,0.6816652047593672,0.6816652047593672
angry,happy,_Chromagram_Mean_2,0.23115846145709684,-0.6803927106731297,0.6803927106731297
angry,happy,_MFCC_Mean_6,0.22359974184937667,0.6690390940386277,0.6690390940386277
happy,sad,_Spectralspread_Mean,0.21530333544896652,0.6560221333833914,0.6560221333833914
angry,relax,_MFCC_Mean_7,0.2135510361135808,0.6535304677109564,0.6535304677109564
happy,relax,_Rolloff_Mean,0.20548674207704284,0.6405912670198198,0.6405912670198198
angry,relax,_Brightness_Mean,0.20188517474962187,0.635429263961468,0.635429263961468
happy,sad,_Chromagram_Mean_1,0.20167001964572392,0.6353255140768788,0.6353255140768788
happy,relax,_Chromagram_Mean_6,0.19878336374136357,0.6311025175883277,0.6311025175883277
angry,relax,_HarmonicChangeDetectionFunction_PeriodFreq,0.19404773613975274,0.6229730911355239,0.6229730911355239
relax,sad,_Roughness_Slope,0.1938943344038648,0.6226336867200626,0.6226336867200626
happy,relax,_AttackTime_Slope,0.19360179812324382,0.6214407908363149,0.6214407908363149
angry,happy,_AttackTime_Mean,0.19214782681365195,-0.619221269800967,0.619221269800967
angry,happy,_Chromagram_Mean_12,0.18905262876071385,-0.6146785053705388,0.6146785053705388
angry,happy,_Chromagram_Mean_11,0.1887970041769928,-0.6147231722784434,0.6147231722784434
happy,relax,_HarmonicChangeDetectionFunction_PeriodFreq,0.17944041803124922,0.5989157887215796,0.5989157887215796
angry,happy,_Chromagram_Mean_6,0.168670902492722,-0.5812035111657808,0.5812035111657808
happy,sad,_RMSenergy_Mean,0.16837650314049601,0.580336628105648,0.580336628105648
happy,relax,_RMSenergy_Mean,0.15994962926308737,0.5657839671591615,0.5657839671591615
angry,happy,_Chromagram_Mean_8,0.15251915010732064,-0.5521903865728643,0.5521903865728643
happy,relax,_MFCC_Mean_3,0.1511084543602678,-0.549437964464074,0.549437964464074
angry,sad,_MFCC_Mean_3,0.14752219338247716,0.5429957924455141,0.5429957924455141
happy,relax,_HarmonicChangeDetectionFunction_PeriodEntropy,0.14745377062542067,0.5422943688445186,0.5422943688445186
relax,sad,_Eventdensity_Mean,0.14240708673094218,-0.5334438257679105,0.5334438257679105
relax,sad,_HarmonicChangeDetectionFunction_Std,0.13639177019743354,0.5224047820075169,0.5224047820075169
happy,sad,_MFCC_Mean_7,0.12887150065339928,-0.507376795534177,0.507376795534177
angry,happy,_MFCC_Mean_1,0.12290613628114046,0.4953632934955913,0.4953632934955913
happy,relax,_Chromagram_Mean_4,0.12284830782396722,0.49572523540872904,0.49572523540872904
angry,sad,_Chromagram_Mean_8,0.11866809688613093,-0.48698504077451515,0.48698504077451515
happy,relax,_Chromagram_Mean_1,0.11818694600263059,0.48612217337226205,0.48612217337226205
relax,sad,_Brightness_Mean,0.11570189669535197,-0.481217954663325,0.481217954663325
happy,sad,_Chromagram_Mean_2,0.11557124282326996,0.48099172947268515,0.48099172947268515
happy,relax,_HarmonicChangeDetectionFunction_Slope,0.11422781810081882,-0.4778351853041957,0.4778351853041957
angry,relax,_EntropyofSpectrum_Mean,0.11245851658098148,0.47425418623521515,0.47425418623521515
happy,relax,_MFCC_Mean_6,0.11222493862166504,-0.47338377852376234,0.47338377852376234
relax,sad,_Chromagram_Mean_6,0.10884007274159375,-0.4661767481896818,0.4661767481896818
angry,sad,_HarmonicChangeDetectionFunction_PeriodFreq,0.10691957776127631,0.46280809694632674,0.46280809694632674
angry,sad,_Lowenergy_Mean,0.10572328315999888,-0.46001525714773184,0.46001525714773184
happy,relax,_Chromagram_Mean_2,0.10454932903677364,0.4572745584983277,0.4572745584983277
angry,happy,_Spectralspread_Mean,0.10218136648903653,-0.45214153757910397,0.45214153757910397
angry,relax,_Tempo_Mean,0.09962462734293018,0.44637344755883807,0.44637344755883807
happy,relax,_Chromagram_Mean_9,0.09252723977719778,0.43005624624204736,0.43005624624204736
angry,relax,_MFCC_Mean_4,0.0897826285679665,-0.4237514095972577,0.4237514095972577
angry,happy,_Chromagram_Mean_9,0.08973139907203222,-0.4236362210371682,0.4236362210371682
angry,sad,_Chromagram_Mean_6,0.08869623650335733,-0.42093110177708226,0.42093110177708226
happy,sad,_HarmonicChangeDetectionFunction_PeriodFreq,0.08844025300980903,0.42080613503780623,0.42080613503780623
happy,sad,_Chromagram_Mean_11,0.0875246811424316,0.41834935362236114,0.41834935362236114
happy,relax,_HarmonicChangeDetectionFunction_Mean,0.08447488436898716,0.4107434442783237,0.4107434442783237
angry,relax,_Chromagram_Mean_12,0.08437589975807244,-0.4107941084240303,0.4107941084240303
relax,sad,_Fluctuation_Mean,0.08385160876457631,0.40962740449043794,0.40962740449043794
angry,happy,_MFCC_Mean_2,0.08071464306829651,0.40201496156866673,0.40201496156866673
angry,happy,_MFCC_Mean_9,0.07785783549040849,0.3948653487780193,0.3948653487780193
relax,sad,_EntropyofSpectrum_Mean,0.07770300014059014,-0.3945174203613916,0.3945174203613916
happy,sad,_AttackTime_Slope,0.07659418860524975,0.3907087288213383,0.3907087288213383
angry,sad,_MFCC_Mean_4,0.07462064155115827,0.3860444685532341,0.3860444685532341
angry,relax,_AttackTime_Slope,0.07457578891496339,0.38620147310661096,0.38620147310661096
relax,sad,_HarmonicChangeDetectionFunction_PeriodAmp,0.07398897870997441,-0.38480150348047126,0.38480150348047126
angry,sad,_Zero-crossingrate_Mean,0.07349424907266099,-0.38348645349845556,0.38348645349845556
angry,happy,_Chromagram_Mean_4,0.07303913252245495,-0.3822353744200482,0.3822353744200482
happy,sad,_HarmonicChangeDetectionFunction_PeriodEntropy,0.07293534015811919,0.38113565877659816,0.38113565877659816
relax,sad,_MFCC_Mean_7,0.07141452689117336,-0.37802556123179704,0.37802556123179704
angry,relax,_Zero-crossingrate_Mean,0.07044075088837085,0.37534184655654745,0.37534184655654745
happy,sad,_Chromagram_Mean_3,0.06550206311455058,0.36167678137865306,0.36167678137865306
relax,sad,_Tempo_Mean,0.06304763790834836,-0.35507927527311384,0.35507927527311384
happy,sad,_Chromagram_Mean_12,0.06129459415368693,0.34969077445426866,0.34969077445426866
angry,happy,_HarmonicChangeDetectionFunction_PeriodEntropy,0.06048607501836823,-0.34745071351773643,0.34745071351773643
happy,sad,_MFCC_Mean_11,0.060464340999341074,0.34724795690824756,0.34724795690824756
angry,sad,_Chromagram_Mean_3,0.060144459663526,0.34708707474984946,0.34708707474984946
