winning_neuron,total_hits,majority_class,majority_count,purity
1_7,7,happy,7,1.0
1_8,7,happy,7,1.0
7_3,7,angry,7,1.0
0_8,6,happy,6,1.0
9_4,6,happy,6,1.0
2_2,5,relax,5,1.0
5_0,5,angry,5,1.0
5_1,5,angry,5,1.0
6_0,5,angry,5,1.0
8_1,5,happy,5,1.0
8_3,5,angry,5,1.0
9_3,5,angry,5,1.0
9_5,5,happy,5,1.0
9_6,5,happy,5,1.0
0_1,4,sad,4,1.0
0_2,4,sad,4,1.0
2_6,4,sad,4,1.0
3_8,4,happy,4,1.0
4_3,4,relax,4,1.0
4_6,4,sad,4,1.0
5_5,4,sad,4,1.0
6_1,4,angry,4,1.0
6_2,4,angry,4,1.0
7_0,4,angry,4,1.0
7_2,4,angry,4,1.0
8_5,4,happy,4,1.0
9_7,4,happy,4,1.0
0_3,3,sad,3,1.0
1_4,3,sad,3,1.0
1_9,3,happy,3,1.0
3_0,3,relax,3,1.0
4_4,3,relax,3,1.0
5_3,3,angry,3,1.0
5_6,3,relax,3,1.0
5_8,3,relax,3,1.0
6_3,3,angry,3,1.0
1_1,2,relax,2,1.0
3_4,2,relax,2,1.0
4_2,2,angry,2,1.0
7_9,2,relax,2,1.0
1_6,1,sad,1,1.0
4_0,1,relax,1,1.0
8_7,1,happy,1,1.0
5_4,7,angry,6,0.8571428571428571
0_7,5,happy,4,0.8
2_7,5,happy,4,0.8
7_1,5,angry,4,0.8
7_6,5,sad,4,0.8
8_6,5,happy,4,0.8
0_5,4,relax,3,0.75
1_2,4,sad,3,0.75
6_6,4,sad,3,0.75
6_7,4,relax,3,0.75
6_8,4,relax,3,0.75
6_9,4,relax,3,0.75
7_8,4,sad,3,0.75
8_9,4,relax,3,0.75
0_4,7,relax,5,0.7142857142857143
9_0,6,relax,4,0.6666666666666666
0_0,3,relax,2,0.6666666666666666
1_3,3,sad,2,0.6666666666666666
1_5,3,relax,2,0.6666666666666666
2_0,3,relax,2,0.6666666666666666
2_5,3,relax,2,0.6666666666666666
3_2,3,relax,2,0.6666666666666666
3_3,3,sad,2,0.6666666666666666
3_5,3,relax,2,0.6666666666666666
3_9,3,happy,2,0.6666666666666666
4_7,3,angry,2,0.6666666666666666
4_8,3,happy,2,0.6666666666666666
4_9,3,relax,2,0.6666666666666666
5_2,3,angry,2,0.6666666666666666
5_9,3,relax,2,0.6666666666666666
6_5,3,sad,2,0.6666666666666666
7_5,3,sad,2,0.6666666666666666
8_0,3,angry,2,0.6666666666666666
8_8,3,happy,2,0.6666666666666666
9_1,3,happy,2,0.6666666666666666
9_2,3,happy,2,0.6666666666666666
9_9,3,angry,2,0.6666666666666666
0_9,5,angry,3,0.6
2_1,5,relax,3,0.6
2_3,5,relax,3,0.6
7_4,5,angry,3,0.6
9_8,5,happy,3,0.6
4_5,6,sad,3,0.5
0_6,4,relax,2,0.5
1_0,4,sad,2,0.5
2_9,4,happy,2,0.5
6_4,4,angry,2,0.5
7_7,4,sad,2,0.5
8_4,4,angry,2,0.5
2_4,2,relax,1,0.5
3_6,2,sad,1,0.5
4_1,2,sad,1,0.5
3_7,5,relax,2,0.4
5_7,5,relax,2,0.4
2_8,3,happy,1,0.3333333333333333
3_1,3,relax,1,0.3333333333333333
8_2,3,relax,1,0.3333333333333333
