sample_index,winning_neuron,class
0,2_4,relax
1,4_3,relax
2,5_9,relax
3,2_2,relax
4,6_6,relax
5,1_5,relax
6,4_3,relax
7,6_9,relax
8,4_4,relax
9,0_5,relax
10,4_4,relax
11,5_8,relax
12,5_6,relax
13,0_4,relax
14,2_1,relax
15,8_9,relax
16,2_2,relax
17,6_8,relax
18,1_5,relax
19,0_6,relax
20,6_8,relax
21,8_2,relax
22,4_5,relax
23,8_9,relax
24,7_4,relax
25,3_5,relax
26,6_4,relax
27,5_6,relax
28,9_2,relax
29,2_3,relax
30,4_0,relax
31,3_2,relax
32,3_3,relax
33,2_3,relax
34,4_4,relax
35,1_2,relax
36,6_9,relax
37,1_1,relax
38,5_8,relax
39,0_0,relax
40,4_3,relax
41,0_6,relax
42,8_9,relax
43,0_5,relax
44,4_9,relax
45,3_2,relax
46,5_7,relax
47,1_1,relax
48,6_5,relax
49,2_0,relax
50,3_0,relax
51,9_1,relax
52,5_6,relax
53,0_4,relax
54,2_0,relax
55,7_7,relax
56,4_9,relax
57,7_6,relax
58,3_4,relax
59,6_7,relax
60,3_4,relax
61,6_7,relax
62,7_9,relax
63,2_1,relax
64,3_0,relax
65,9_9,relax
66,5_8,relax
67,9_0,relax
68,9_0,relax
69,9_0,relax
70,3_0,relax
71,3_7,relax
72,4_3,relax
73,2_3,relax
74,2_5,relax
75,0_4,relax
76,6_9,relax
77,2_2,relax
78,5_9,relax
79,1_3,relax
80,2_2,relax
81,2_2,relax
82,3_5,relax
83,3_7,relax
84,0_4,relax
85,0_5,relax
86,0_0,relax
87,0_4,relax
88,3_1,relax
89,2_1,relax
90,9_0,relax
91,2_5,relax
92,6_8,relax
93,6_7,relax
94,1_0,relax
95,5_7,relax
96,7_9,relax
97,1_7,happy
98,8_4,happy
99,1_8,happy
100,9_5,happy
101,2_7,happy
102,1_8,happy
103,9_4,happy
104,0_7,happy
105,8_8,happy
106,0_8,happy
107,9_1,happy
108,1_8,happy
109,9_4,happy
110,8_6,happy
111,1_7,happy
112,8_0,happy
113,9_8,happy
114,1_9,happy
115,0_8,happy
116,9_4,happy
117,3_8,happy
118,9_5,happy
119,9_5,happy
120,2_9,happy
121,1_7,happy
