class_a,class_b,feature,pairwise_fisher_distance,cohens_d,cohens_d_abs
angry,relax,_HarmonicChangeDetectionFunction_Std,3.612846307847531,-2.6880648458848406,2.6880648458848406
happy,relax,_Zero-crossingrate_Mean,3.568087214058179,2.673935346026131,2.673935346026131
happy,relax,_HarmonicChangeDetectionFunction_PeriodAmp,2.7398675380942916,2.336258734226364,2.336258734226364
happy,relax,_Eventdensity_Mean,2.634594379544228,2.295750962287687,2.295750962287687
angry,sad,_HarmonicChangeDetectionFunction_Std,2.570556071842425,-2.267425840470654,2.267425840470654
happy,relax,_HarmonicChangeDetectionFunction_Std,2.158938622299761,-2.0761950659917723,2.0761950659917723
happy,sad,_HarmonicChangeDetectionFunction_PeriodAmp,2.1406659092518554,2.0616449342127003,2.0616449342127003
angry,happy,_Zero-crossingrate_Mean,2.0151804621275247,-2.0077706731610387,2.0077706731610387
happy,relax,_Pulseclarity_Mean,1.866692968060701,1.9346186602971585,1.9346186602971585
happy,sad,_Pulseclarity_Mean,1.848906927838184,1.9281068055560335,1.9281068055560335
happy,relax,_Brightness_Mean,1.6851648542656457,1.8335546870109842,1.8335546870109842
angry,relax,_HarmonicChangeDetectionFunction_PeriodAmp,1.6074423215012679,1.7930099394585348,1.7930099394585348
happy,relax,_EntropyofSpectrum_Mean,1.5535854103884263,1.7593203359089822,1.7593203359089822
happy,sad,_Zero-crossingrate_Mean,1.4838614545514135,1.7239013626062831,1.7239013626062831
happy,sad,_EntropyofSpectrum_Mean,1.412179010192778,1.6756458675893806,1.6756458675893806
angry,relax,_Fluctuation_Mean,1.2976759473063701,-1.6110095886146811,1.6110095886146811
happy,relax,_MFCC_Mean_1,1.2948619753407768,-1.6075015631827736,1.6075015631827736
angry,happy,_HarmonicChangeDetectionFunction_Mean,1.2795261040252324,-1.5982910118671398,1.5982910118671398
happy,sad,_HarmonicChangeDetectionFunction_Std,1.2614300538527718,-1.5863468291007263,1.5863468291007263
happy,sad,_Eventdensity_Mean,1.2409361655094968,1.5743688809379621,1.5743688809379621
angry,relax,_Eventdensity_Mean,1.1955394547629443,1.5463113882791975,1.5463113882791975
angry,sad,_HarmonicChangeDetectionFunction_PeriodAmp,1.119179599949607,1.4957629598590578,1.4957629598590578
angry,happy,_Fluctuation_Mean,1.1152308468276522,-1.4939964460262498,1.4939964460262498
angry,happy,_EntropyofSpectrum_Mean,1.063972014585376,-1.4564144903536662,1.4564144903536662
happy,sad,_Brightness_Mean,1.012078623925475,1.4200495796224244,1.4200495796224244
happy,sad,_MFCC_Mean_1,0.8663160104170416,-1.3140286799438825,1.3140286799438825
angry,sad,_Fluctuation_Mean,0.7882237408407603,-1.2551762394820465,1.2551762394820465
happy,sad,_Spectralskewness_Mean,0.7795966588319295,-1.2455401961436086,1.2455401961436086
angry,sad,_HarmonicChangeDetectionFunction_Mean,0.7725465226608554,-1.2435877524567467,1.2435877524567467
angry,sad,_AttackTime_Mean,0.7541829113046729,-1.2274501675710598,1.2274501675710598
angry,happy,_Brightness_Mean,0.7390698730328011,-1.2146057902219602,1.2146057902219602
happy,sad,_Spectralcentroid_Mean,0.7201066059256617,1.2000228769617887,1.2000228769617887
happy,sad,_Spectralkurtosis_Mean,0.6629385021680502,-1.1474461302135959,1.1474461302135959
happy,relax,_MFCC_Mean_2,0.6595203657798083,-1.1477998552785635,1.1477998552785635
angry,relax,_AttackTime_Mean,0.6367872434305278,-1.1285275747003707,1.1285275747003707
angry,happy,_Pulseclarity_Mean,0.5946880290992305,-1.0910198850553698,1.0910198850553698
angry,relax,_HarmonicChangeDetectionFunction_Mean,0.585251627712115,-1.0818979875304404,1.0818979875304404
happy,relax,_Spectralcentroid_Mean,0.5840015908930551,1.0801130150913216,1.0801130150913216
angry,sad,_Eventdensity_Mean,0.5550546616892602,1.0544439952790752,1.0544439952790752
angry,happy,_Chromagram_Mean_7,0.5545043008818129,-1.0548365160834485,1.0548365160834485
happy,sad,_Rolloff_Mean,0.526611400876735,1.026396076832521,1.026396076832521
angry,relax,_MFCC_Mean_1,0.5094562136568586,-1.00941192152269,1.00941192152269
happy,relax,_Spectralskewness_Mean,0.4809735528648057,-0.9791431142862447,0.9791431142862447
angry,happy,_Spectralcentroid_Mean,0.47117354195789096,-0.9703928683047949,0.9703928683047949
angry,happy,_Spectralskewness_Mean,0.4677209411537056,0.9661709579382911,0.9661709579382911
angry,happy,_HarmonicChangeDetectionFunction_Std,0.44376999795226557,-0.9414858949974269,0.9414858949974269
angry,sad,_Chromagram_Mean_7,0.44126215944770814,-0.9377682617386329,0.9377682617386329
angry,happy,_Spectralkurtosis_Mean,0.43899301027420345,0.9355985325821209,0.9355985325821209
angry,relax,_Roughness_Slope,0.4141096972253191,-0.9100655989813919,0.9100655989813919
angry,relax,_MFCC_Mean_2,0.39973331798696704,-0.8941289817317176,0.8941289817317176
