feature,LD1_coefficient,LD2_coefficient,LD1_abs,LD2_abs,linear_discriminant
_Zero-crossingrate_Mean,-1.3248673323435856,-1.631263602377945,1.3248673323435856,1.631263602377945,LD1
_Brightness_Mean,0.7753733180239492,-0.0015377941816065444,0.7753733180239492,0.0015377941816065444,LD1
_Spectralcentroid_Mean,0.722141350366397,1.1990474177852197,0.722141350366397,1.1990474177852197,LD1
_Pulseclarity_Mean,-0.4575424036971885,-0.2766011559131571,0.4575424036971885,0.2766011559131571,LD1
_MFCC_Mean_1,0.44787901984264183,-0.7165016109256739,0.44787901984264183,0.7165016109256739,LD1
_HarmonicChangeDetectionFunction_Std,0.43979861235514217,-0.049569681342359784,0.43979861235514217,0.049569681342359784,LD1
_HarmonicChangeDetectionFunction_PeriodAmp,-0.424686203382763,0.7052858288255599,0.424686203382763,0.7052858288255599,LD1
_Eventdensity_Mean,-0.355354484406753,-0.059871135290911814,0.355354484406753,0.059871135290911814,LD1
_Fluctuation_Mean,-0.3212758375355643,-0.4424979012192408,0.3212758375355643,0.4424979012192408,LD1
_Lowenergy_Mean,-0.31482607972279847,0.07700616560791856,0.31482607972279847,0.07700616560791856,LD1
_MFCC_Mean_2,0.3125788100462167,-0.2064923922973268,0.3125788100462167,0.2064923922973268,LD1
_Chromagram_Mean_9,0.2899280657150108,0.14507005258960218,0.2899280657150108,0.14507005258960218,LD1
_Zero-crossingrate_Mean,-1.3248673323435856,-1.631263602377945,1.3248673323435856,1.631263602377945,LD2
_Spectralcentroid_Mean,0.722141350366397,1.1990474177852197,0.722141350366397,1.1990474177852197,LD2
_MFCC_Mean_1,0.44787901984264183,-0.7165016109256739,0.44787901984264183,0.7165016109256739,LD2
_HarmonicChangeDetectionFunction_PeriodAmp,-0.424686203382763,0.7052858288255599,0.424686203382763,0.7052858288255599,LD2
_HarmonicChangeDetectionFunction_Mean,0.07138364577404521,-0.6717454698919277,0.07138364577404521,0.6717454698919277,LD2
_Fluctuation_Mean,-0.3212758375355643,-0.4424979012192408,0.3212758375355643,0.4424979012192408,LD2
_Spectralskewness_Mean,-0.22089444293020835,0.41487705477820297,0.22089444293020835,0.41487705477820297,LD2
_RMSenergy_Mean,-0.08346667127438513,-0.3705657967954947,0.08346667127438513,0.3705657967954947,LD2
_Spectralspread_Mean,-0.14368306453655766,-0.3474040721751325,0.14368306453655766,0.3474040721751325,LD2
_Pulseclarity_Mean,-0.4575424036971885,-0.2766011559131571,0.4575424036971885,0.2766011559131571,LD2
_Roughness_Mean,0.03372497291389685,0.25456738922000743,0.03372497291389685,0.25456738922000743,LD2
_EntropyofSpectrum_Mean,-0.22173145124920052,-0.24255141811000022,0.22173145124920052,0.24255141811000022,LD2
