principal_component,feature,signed_loading,absolute_loading
PC1,_EntropyofSpectrum_Mean,0.3151331438539354,0.3151331438539354
PC1,_Spectralcentroid_Mean,0.310595449754892,0.310595449754892
PC1,_Spectralskewness_Mean,-0.3014288884508809,0.3014288884508809
PC1,_Brightness_Mean,0.29884721853113255,0.29884721853113255
PC1,_Spectralkurtosis_Mean,-0.2930022942028814,0.2930022942028814
PC1,_Rolloff_Mean,0.29180008323156126,0.29180008323156126
PC1,_MFCC_Mean_1,-0.27588506789848755,0.27588506789848755
PC1,_Spectralspread_Mean,0.2525252092178522,0.2525252092178522
PC1,_Zero-crossingrate_Mean,0.2512101486556325,0.2512101486556325
PC1,_Spectralflatness_Mean,0.18724473595955898,0.18724473595955898
PC1,_HarmonicChangeDetectionFunction_PeriodAmp,0.18300765613222036,0.18300765613222036
PC1,_Eventdensity_Mean,0.18029186070714964,0.18029186070714964
PC2,_HarmonicChangeDetectionFunction_Std,0.33416782847591686,0.33416782847591686
PC2,_AttackTime_Mean,0.3223718441233539,0.3223718441233539
PC2,_Eventdensity_Mean,-0.318643997302384,0.318643997302384
PC2,_HarmonicChangeDetectionFunction_PeriodAmp,-0.2840862071206187,0.2840862071206187
PC2,_Fluctuation_Mean,0.27270082741373564,0.27270082741373564
PC2,_Roughness_Mean,-0.26802797686832386,0.26802797686832386
PC2,_RMSenergy_Mean,-0.24859035296438167,0.24859035296438167
PC2,_Lowenergy_Mean,0.23708442715565348,0.23708442715565348
PC2,_MFCC_Mean_2,0.18311075324487408,0.18311075324487408
PC2,_Spectralspread_Mean,0.17065463158779026,0.17065463158779026
PC2,_Rolloff_Mean,0.16939731292116242,0.16939731292116242
PC2,_Spectralflatness_Mean,0.16438346900210138,0.16438346900210138
PC3,_HarmonicChangeDetectionFunction_Mean,0.3164947646415782,0.3164947646415782
PC3,_Chromagram_Mean_4,0.2796660677420404,0.2796660677420404
PC3,_Chromagram_Mean_6,0.26419123147353796,0.26419123147353796
PC3,_Chromagram_Mean_1,0.26255417862339764,0.26255417862339764
PC3,_Chromagram_Mean_2,0.2464373251183095,0.2464373251183095
PC3,_Chromagram_Mean_7,0.24000152625840593,0.24000152625840593
PC3,_MFCC_Mean_2,-0.23425516037251726,0.23425516037251726
PC3,_MFCC_Mean_4,-0.206975339826484,0.206975339826484
PC3,_MFCC_Mean_6,-0.19819514391556847,0.19819514391556847
PC3,_Chromagram_Mean_11,0.19772596909935997,0.19772596909935997
PC3,_Zero-crossingrate_Mean,0.18232537052921316,0.18232537052921316
PC3,_Spectralspread_Mean,-0.17522080769968976,0.17522080769968976
