column,dtype,n_unique,missing_count,missing_percentage
Class,str,4,0,0.0
_RMSenergy_Mean,float64,196,0,0.0
_Lowenergy_Mean,float64,166,0,0.0
_Fluctuation_Mean,float64,377,0,0.0
_Tempo_Mean,float64,388,0,0.0
_MFCC_Mean_1,float64,354,0,0.0
_MFCC_Mean_2,float64,347,0,0.0
_MFCC_Mean_3,float64,319,0,0.0
_MFCC_Mean_4,float64,316,0,0.0
_MFCC_Mean_5,float64,297,0,0.0
_MFCC_Mean_6,float64,297,0,0.0
_MFCC_Mean_7,float64,304,0,0.0
_MFCC_Mean_8,float64,273,0,0.0
_MFCC_Mean_9,float64,278,0,0.0
_MFCC_Mean_10,float64,271,0,0.0
_MFCC_Mean_11,float64,253,0,0.0
_MFCC_Mean_12,float64,272,0,0.0
_MFCC_Mean_13,float64,259,0,0.0
_Roughness_Mean,float64,388,0,0.0
_Roughness_Slope,float64,292,0,0.0
_Zero-crossingrate_Mean,float64,388,0,0.0
_AttackTime_Mean,float64,61,0,0.0
_AttackTime_Slope,float64,274,0,0.0
_Rolloff_Mean,float64,388,0,0.0
_Eventdensity_Mean,float64,163,0,0.0
_Pulseclarity_Mean,float64,266,0,0.0
_Brightness_Mean,float64,277,0,0.0
_Spectralcentroid_Mean,float64,388,0,0.0
_Spectralspread_Mean,float64,388,0,0.0
_Spectralskewness_Mean,float64,357,0,0.0
_Spectralkurtosis_Mean,float64,381,0,0.0
_Spectralflatness_Mean,float64,94,0,0.0
_EntropyofSpectrum_Mean,float64,134,0,0.0
_Chromagram_Mean_1,float64,259,0,0.0
_Chromagram_Mean_2,float64,240,0,0.0
_Chromagram_Mean_3,float64,263,0,0.0
_Chromagram_Mean_4,float64,240,0,0.0
_Chromagram_Mean_5,float64,286,0,0.0
_Chromagram_Mean_6,float64,241,0,0.0
_Chromagram_Mean_7,float64,243,0,0.0
_Chromagram_Mean_8,float64,269,0,0.0
_Chromagram_Mean_9,float64,262,0,0.0
_Chromagram_Mean_10,float64,245,0,0.0
_Chromagram_Mean_11,float64,273,0,0.0
_Chromagram_Mean_12,float64,252,0,0.0
_HarmonicChangeDetectionFunction_Mean,float64,178,0,0.0
_HarmonicChangeDetectionFunction_Std,float64,159,0,0.0
_HarmonicChangeDetectionFunction_Slope,float64,237,0,0.0
_HarmonicChangeDetectionFunction_PeriodFreq,float64,40,0,0.0
_HarmonicChangeDetectionFunction_PeriodAmp,float64,196,0,0.0
_HarmonicChangeDetectionFunction_PeriodEntropy,float64,26,0,0.0
