column,missing_count,missing_percentage
Class,0,0.0
_RMSenergy_Mean,0,0.0
_Lowenergy_Mean,0,0.0
_Fluctuation_Mean,0,0.0
_Tempo_Mean,0,0.0
_MFCC_Mean_1,0,0.0
_MFCC_Mean_2,0,0.0
_MFCC_Mean_3,0,0.0
_MFCC_Mean_4,0,0.0
_MFCC_Mean_5,0,0.0
_MFCC_Mean_6,0,0.0
_MFCC_Mean_7,0,0.0
_MFCC_Mean_8,0,0.0
_MFCC_Mean_9,0,0.0
_MFCC_Mean_10,0,0.0
_MFCC_Mean_11,0,0.0
_MFCC_Mean_12,0,0.0
_MFCC_Mean_13,0,0.0
_Roughness_Mean,0,0.0
_Roughness_Slope,0,0.0
_Zero-crossingrate_Mean,0,0.0
_AttackTime_Mean,0,0.0
_AttackTime_Slope,0,0.0
_Rolloff_Mean,0,0.0
_Eventdensity_Mean,0,0.0
_Pulseclarity_Mean,0,0.0
_Brightness_Mean,0,0.0
_Spectralcentroid_Mean,0,0.0
_Spectralspread_Mean,0,0.0
_Spectralskewness_Mean,0,0.0
_Spectralkurtosis_Mean,0,0.0
_Spectralflatness_Mean,0,0.0
_EntropyofSpectrum_Mean,0,0.0
_Chromagram_Mean_1,0,0.0
_Chromagram_Mean_2,0,0.0
_Chromagram_Mean_3,0,0.0
_Chromagram_Mean_4,0,0.0
_Chromagram_Mean_5,0,0.0
_Chromagram_Mean_6,0,0.0
_Chromagram_Mean_7,0,0.0
_Chromagram_Mean_8,0,0.0
_Chromagram_Mean_9,0,0.0
_Chromagram_Mean_10,0,0.0
_Chromagram_Mean_11,0,0.0
_Chromagram_Mean_12,0,0.0
_HarmonicChangeDetectionFunction_Mean,0,0.0
_HarmonicChangeDetectionFunction_Std,0,0.0
_HarmonicChangeDetectionFunction_Slope,0,0.0
_HarmonicChangeDetectionFunction_PeriodFreq,0,0.0
_HarmonicChangeDetectionFunction_PeriodAmp,0,0.0
_HarmonicChangeDetectionFunction_PeriodEntropy,0,0.0
