feature,angry,happy,relax,sad
_RMSenergy_Mean,0.16022999999999998,0.14803,0.11599,0.11435000000000001
_Lowenergy_Mean,0.53847,0.5537,0.55804,0.56421
_Fluctuation_Mean,5.641430000000001,7.81913,7.838830000000001,7.284339999999999
_Tempo_Mean,129.20273,124.44935,113.34693999999999,127.72905999999999
_MFCC_Mean_1,2.20387,1.94375,2.97152,2.7065499999999996
_MFCC_Mean_2,0.04785999999999999,-0.11441000000000001,0.40713,-0.05302
_MFCC_Mean_3,0.6023499999999999,0.37659,0.5226099999999999,0.45071
_MFCC_Mean_4,0.05215,-0.02021,0.15008000000000002,-0.06016
_MFCC_Mean_5,0.19603,0.16074000000000002,0.2025,0.15632
_MFCC_Mean_6,0.07919999999999999,-0.01948,0.07418,0.01933
_MFCC_Mean_7,0.12213000000000002,0.009390000000000003,0.02177,0.08648
_MFCC_Mean_8,0.02726,0.053470000000000004,0.052590000000000005,0.040549999999999996
_MFCC_Mean_9,0.03966,-0.00819,0.016300000000000002,0.044270000000000004
_MFCC_Mean_10,0.03079,0.03503,0.02846,0.016890000000000002
_MFCC_Mean_11,0.03419,0.05005,0.02536,0.005590000000000001
_MFCC_Mean_12,0.01043,0.01876,0.02288,0.0146
_MFCC_Mean_13,0.03871,0.023090000000000003,0.034910000000000004,-0.00023999999999999925
_Roughness_Mean,740.58196,689.99008,341.15287000000006,339.00055
_Roughness_Slope,0.01641,0.05361,0.16408,0.05405
_Zero-crossingrate_Mean,795.12995,1607.4489600000002,655.55789,930.87246
_AttackTime_Mean,0.02291,0.02681,0.03709,0.03841
_AttackTime_Slope,0.010439999999999998,0.03727,-0.04871,-0.01056
_Rolloff_Mean,5488.83972,6937.30489,5386.030089999999,4952.10385
_Eventdensity_Mean,3.5104200000000003,3.68173,1.72224,2.2248900000000003
_Pulseclarity_Mean,0.2521,0.40804,0.16760000000000003,0.16981000000000002
_Brightness_Mean,0.43136,0.5463600000000001,0.34848,0.41043
_Spectralcentroid_Mean,2483.64559,3190.04178,2307.79923,2343.18247
_Spectralspread_Mean,3051.4771299999998,3350.6760200000003,3070.64793,2856.7777
_Spectralskewness_Mean,1.8378299999999999,1.37494,2.14039,2.12698
_Spectralkurtosis_Mean,6.6361,4.39547,8.789909999999999,9.57433
_Spectralflatness_Mean,0.047400000000000005,0.05465,0.04597,0.04607
_EntropyofSpectrum_Mean,0.8701300000000001,0.90473,0.84965,0.86592
_Chromagram_Mean_1,0.28123000000000004,0.49662999999999996,0.33240000000000003,0.29998
_Chromagram_Mean_2,0.18227000000000002,0.37403,0.23242000000000002,0.22341999999999998
_Chromagram_Mean_3,0.41054999999999997,0.39459000000000005,0.36966,0.28559
_Chromagram_Mean_4,0.18737,0.26095,0.16141000000000003,0.22344999999999998
_Chromagram_Mean_5,0.30007,0.39857,0.37165,0.33136000000000004
_Chromagram_Mean_6,0.19443000000000002,0.36552,0.18089,0.31468
_Chromagram_Mean_7,0.08909,0.31151,0.2638,0.30679
_Chromagram_Mean_8,0.28821,0.45296,0.36546999999999996,0.46085
_Chromagram_Mean_9,0.30345,0.42323,0.28539000000000003,0.40646
_Chromagram_Mean_10,0.62096,0.6338900000000001,0.59531,0.51374
_Chromagram_Mean_11,0.30029,0.47536,0.2444,0.34930999999999995
_Chromagram_Mean_12,0.28256,0.47028,0.43182000000000004,0.35781999999999997
_HarmonicChangeDetectionFunction_Mean,0.28061,0.35477,0.33593000000000006,0.34153999999999995
_HarmonicChangeDetectionFunction_Std,0.14604,0.17259,0.23619,0.21716999999999997
_HarmonicChangeDetectionFunction_Slope,0.00575,-0.02342,0.02137,-0.00433
_HarmonicChangeDetectionFunction_PeriodFreq,2.05012,1.94979,1.4257300000000002,1.62351
_HarmonicChangeDetectionFunction_PeriodAmp,0.81489,0.8226300000000001,0.70839,0.73285
_HarmonicChangeDetectionFunction_PeriodEntropy,0.9667600000000001,0.9678399999999999,0.9656199999999999,0.96663
