feature,count,missing_count,missing_percentage,mean,std,min,q1,median,q3,max,iqr,skewness,kurtosis,n_unique,unique_ratio,is_constant,is_quasi_constant_unique_ratio_lt_1pct
_RMSenergy_Mean,400,0,0.0,0.13465,0.06436816489250778,0.01,0.085,0.128,0.174,0.431,0.08899999999999998,0.7060467637081729,0.6184536799728475,196,0.49,False,False
_Lowenergy_Mean,400,0,0.0,0.553605,0.050749658072603954,0.302,0.523,0.553,0.5832499999999999,0.703,0.060249999999999915,-0.38777495855565886,2.170860255054885,166,0.415,False,False
_Fluctuation_Mean,400,0,0.0,7.1459325,2.2801447966473414,3.58,5.859500000000001,6.734,7.8235,23.475,1.9639999999999995,2.8905192374417776,12.726442860226058,377,0.9425,False,False
_Tempo_Mean,400,0,0.0,123.68202,34.23434447610867,48.284,101.49025,120.1325,148.98625,195.026,47.49600000000001,0.11692634395270665,-0.6271690592305177,388,0.97,False,False
_MFCC_Mean_1,400,0,0.0,2.4564225,0.7992615507830652,0.323,1.9485000000000001,2.3895,2.8602499999999997,5.996,0.9117499999999996,0.8680021243825369,1.9537134756784962,354,0.885,False,False
_MFCC_Mean_2,400,0,0.0,0.07188999999999998,0.5378653322991017,-3.484,-0.26275000000000004,0.0685,0.41325,1.937,0.676,-0.6791496885328073,4.9054694194503305,347,0.8675,False,False
_MFCC_Mean_3,400,0,0.0,0.48806499999999997,0.2946073394982134,-0.87,0.28125,0.4645,0.686,1.622,0.40475000000000005,0.11104904452645538,1.1917120036348727,319,0.7975,False,False
_MFCC_Mean_4,400,0,0.0,0.030464999999999996,0.27583871422565787,-1.636,-0.117,0.0445,0.19825,1.126,0.31525000000000003,-0.6981012181295071,4.079381527412108,316,0.79,False,False
_MFCC_Mean_5,400,0,0.0,0.1788975,0.19523027209324895,-0.494,0.06125,0.181,0.2885,1.055,0.22724999999999998,0.0751091607705447,1.192464621353265,297,0.7425,False,False
_MFCC_Mean_6,400,0,0.0,0.038307499999999994,0.2037537162506856,-0.916,-0.07825,0.0495,0.15125,0.799,0.22949999999999998,-0.2842805045934927,2.581441169849307,297,0.7425,False,False
_MFCC_Mean_7,400,0,0.0,0.0599425,0.180981726029568,-0.936,-0.04125,0.072,0.17225,0.571,0.2135,-0.7931158001107501,3.352125170584852,304,0.76,False,False
_MFCC_Mean_8,400,0,0.0,0.0434675,0.1651836039116871,-0.744,-0.04925,0.0395,0.13,0.728,0.17925000000000002,-0.10776558337266637,2.861915660736372,273,0.6825,False,False
_MFCC_Mean_9,400,0,0.0,0.023010000000000003,0.15923926261099125,-0.621,-0.07100000000000001,0.0165,0.123,0.539,0.194,-0.12992254241679596,1.2948467698751251,278,0.695,False,False
_MFCC_Mean_10,400,0,0.0,0.0277925,0.15223466400943367,-0.544,-0.05925,0.0315,0.126,0.51,0.18525,-0.24696147925640966,1.0758499892678985,271,0.6775,False,False
_MFCC_Mean_11,400,0,0.0,0.0287975,0.13615561822667002,-0.487,-0.044,0.037,0.114,0.494,0.158,-0.29832196867227456,0.9087803444076328,253,0.6325,False,False
_MFCC_Mean_12,400,0,0.0,0.0166675,0.1285284632227274,-0.418,-0.056,0.0225,0.0945,0.355,0.1505,-0.3511700366354954,0.3996779662754557,272,0.68,False,False
_MFCC_Mean_13,400,0,0.0,0.024117500000000004,0.13347038830818558,-0.62,-0.0455,0.039,0.10125,0.536,0.14675,-0.4949908509700212,2.0180464538371403,259,0.6475,False,False
_Roughness_Mean,400,0,0.0,527.681365,521.2189429726251,0.941,169.18875,367.578,734.3725,3899.847,565.1837499999999,2.0835847006783763,6.731580087964769,388,0.97,False,False
_Roughness_Slope,400,0,0.0,0.0720375,0.1743014301867971,-0.525,-0.027,0.068,0.174,0.584,0.20099999999999998,-0.02348573143897013,0.42083189462050674,292,0.73,False,False
_Zero-crossingrate_Mean,400,0,0.0,997.2523150000001,524.8958665120678,149.49,592.275,893.491,1303.49275,3147.907,711.2177499999999,0.9267093496754484,0.6861515238341824,388,0.97,False,False
_AttackTime_Mean,400,0,0.0,0.031305000000000006,0.016801270240796102,0.01,0.023,0.027,0.033,0.165,0.010000000000000002,3.3825618644732467,17.10848091228392,61,0.1525,False,False
_AttackTime_Slope,400,0,0.0,-0.0028899999999999993,0.1499204898711581,-0.465,-0.094,0.0075,0.089,0.599,0.183,-0.011454092839463479,0.4732713051524593,274,0.685,False,False
_Rolloff_Mean,400,0,0.0,5691.0696375,2293.401838825368,887.151,3933.55275,5648.628000000001,7355.88625,11508.298,3422.3334999999997,0.0962422592543342,-0.6093266612970014,388,0.97,False,False
_Eventdensity_Mean,400,0,0.0,2.78482,1.3268889000147888,0.234,1.737,2.773,3.6925,7.952,1.9554999999999998,0.475977680224804,0.13424214173180538,163,0.4075,False,False
_Pulseclarity_Mean,400,0,0.0,0.24938749999999998,0.15533489520362062,0.011,0.12775,0.218,0.32725000000000004,0.856,0.19950000000000004,1.160820466580973,1.2141077821082966,266,0.665,False,False
_Brightness_Mean,400,0,0.0,0.43415750000000003,0.1315173171316758,0.053,0.3525,0.448,0.52725,0.737,0.17475000000000002,-0.3995177947994778,-0.07215265974925744,277,0.6925,False,False
_Spectralcentroid_Mean,400,0,0.0,2581.1672675,863.520317818672,606.524,1981.55775,2547.678,3182.5697499999997,5326.379,1201.0119999999997,0.2253285160288638,-0.1328363254048024,388,0.97,False,False
_Spectralspread_Mean,400,0,0.0,3082.394695,767.6480354520033,814.817,2506.7685,3150.949,3684.32525,4721.479,1177.5567499999997,-0.2601554491554,-0.43342603177833583,388,0.97,False,False
_Spectralskewness_Mean,400,0,0.0,1.8700350000000001,0.8816349950155622,0.39,1.32725,1.687,2.1825,7.855,0.8552500000000001,2.278226487644472,9.116533034050791,357,0.8925,False,False
_Spectralkurtosis_Mean,400,0,0.0,7.3489525,8.621386156726901,1.93,3.8815,5.215999999999999,7.849,121.996,3.9675000000000002,7.9710874035803405,89.67934163307021,381,0.9525,False,False
_Spectralflatness_Mean,400,0,0.0,0.0485225,0.026491962061816254,0.006,0.029,0.047,0.062,0.209,0.033,1.4860341179629775,5.16749396790037,94,0.235,False,False
_EntropyofSpectrum_Mean,400,0,0.0,0.8726075,0.0372598871674261,0.74,0.853,0.879,0.899,0.942,0.04600000000000004,-0.975793168380994,0.9559757997953269,134,0.335,False,False
_Chromagram_Mean_1,400,0,0.0,0.35256,0.32307081775240554,0.0,0.057,0.2735,0.55125,1.0,0.49425,0.7023807971021179,-0.7216407280064647,259,0.6475,False,False
_Chromagram_Mean_2,400,0,0.0,0.253035,0.28769412323918947,0.0,0.0185,0.142,0.39525,1.0,0.37675,1.2069736867919894,0.43167401269253025,240,0.6,False,False
_Chromagram_Mean_3,400,0,0.0,0.3650975,0.32457018116271863,0.0,0.07975,0.2885,0.5765,1.0,0.49675,0.6938285122388965,-0.7278599057510022,263,0.6575,False,False
_Chromagram_Mean_4,400,0,0.0,0.20829500000000004,0.25362276957741847,0.0,0.017,0.105,0.315,1.0,0.298,1.4855089032894624,1.477103113001534,240,0.6,False,False
_Chromagram_Mean_5,400,0,0.0,0.35041249999999996,0.30352134250682083,0.0,0.08975,0.271,0.5357500000000001,1.0,0.44600000000000006,0.7842084900117974,-0.4630123421496979,286,0.715,False,False
_Chromagram_Mean_6,400,0,0.0,0.26388,0.2926920175591694,0.0,0.01975,0.144,0.4505,1.0,0.43075,1.113700623100169,0.18754180811954857,241,0.6025,False,False
_Chromagram_Mean_7,400,0,0.0,0.2427975,0.27579563916095645,0.0,0.026,0.141,0.365,1.0,0.33899999999999997,1.3346229886230898,0.9260059199437047,243,0.6075,False,False
_Chromagram_Mean_8,400,0,0.0,0.39187250000000007,0.33082600541432045,0.0,0.102,0.2955,0.6355,1.0,0.5335,0.5724310052884365,-0.9592073347833292,269,0.6725,False,False
_Chromagram_Mean_9,400,0,0.0,0.35463249999999996,0.33497628306985894,0.0,0.06675,0.247,0.612,1.0,0.54525,0.7614635967290474,-0.7738539056656819,262,0.655,False,False
_Chromagram_Mean_10,400,0,0.0,0.5909749999999999,0.3579814606798461,0.0,0.2645,0.612,1.0,1.0,0.7355,-0.2184178572332351,-1.4421746828316708,245,0.6125,False,False
_Chromagram_Mean_11,400,0,0.0,0.3423399999999999,0.31580847341339535,0.0,0.0595,0.247,0.5652499999999999,1.0,0.5057499999999999,0.7134930420347515,-0.690448581950895,273,0.6825,False,False
