feature,anova_f_value,anova_p_value
_HarmonicChangeDetectionFunction_Std,177.22900011550692,7.580574514447442e-73
_Zero-crossingrate_Mean,124.85084219081561,6.352061892587933e-57
_HarmonicChangeDetectionFunction_PeriodAmp,121.9070406783913,6.187307567387492e-56
_Pulseclarity_Mean,86.8255565799279,3.4415908082252634e-43
_Eventdensity_Mean,86.11475882759872,6.538317253868948e-43
_Brightness_Mean,55.78073578255324,4.278762703254594e-30
_EntropyofSpectrum_Mean,54.0745317919467,2.5794473345368737e-29
_HarmonicChangeDetectionFunction_Mean,46.588887757679004,8.305062596505388e-26
_MFCC_Mean_1,45.605706017205684,2.4585776475498096e-25
_Spectralcentroid_Mean,27.411807376835053,3.972484854379018e-16
_AttackTime_Mean,24.221319444065,2.068834322459134e-14
_Fluctuation_Mean,24.218609086556427,2.0758583685138688e-14
_MFCC_Mean_2,21.747174247882853,4.668842768324757e-13
_Roughness_Mean,19.90927224585144,4.868074231742597e-12
_Spectralskewness_Mean,18.723855263182205,2.2377810356432834e-11
_Chromagram_Mean_7,16.040236129800615,7.34827916778211e-10
_Rolloff_Mean,15.718597605060678,1.1206296429080146e-09
_Roughness_Slope,14.811124072788434,3.700882361365416e-09
_RMSenergy_Mean,14.082329454866379,9.701390806200125e-09
_MFCC_Mean_4,12.134614620539821,1.297696957381226e-07
_MFCC_Mean_3,11.645986663942036,2.4972149169260825e-07
_Chromagram_Mean_11,10.415490342763407,1.306774512338645e-06
_HarmonicChangeDetectionFunction_PeriodFreq,10.32478491449157,1.4768492043006471e-06
_Chromagram_Mean_6,10.246353280488565,1.6417154120304594e-06
_Chromagram_Mean_1,9.885422241652803,2.6729902017116864e-06
_MFCC_Mean_7,9.279797723281682,6.065821399995794e-06
_Chromagram_Mean_2,8.940781814873604,9.604028541972142e-06
_Spectralkurtosis_Mean,7.656894340780547,5.496828366540111e-05
_Spectralspread_Mean,7.347236439873808,8.379339040137879e-05
_Chromagram_Mean_8,6.313283901615179,0.00034287547423570927
_AttackTime_Slope,6.0799881948935885,0.0004712494093023206
_Chromagram_Mean_12,5.90248751766472,0.0006002375802881956
_HarmonicChangeDetectionFunction_PeriodEntropy,5.789355645071315,0.0007002986108535376
_MFCC_Mean_6,5.528269439843152,0.0009994788239731337
_Lowenergy_Mean,4.808810934596194,0.0026605002216679
_Chromagram_Mean_9,4.514524761866978,0.003967503199664085
_Tempo_Mean,4.502947322457629,0.004030315950065915
_HarmonicChangeDetectionFunction_Slope,3.2658480807866814,0.021388901002256506
_Chromagram_Mean_3,2.9794192369143335,0.03135309550627399
_Chromagram_Mean_4,2.964957208591573,0.03196256281686549
_Spectralflatness_Mean,2.465089856216307,0.06191743145722605
_MFCC_Mean_9,2.3202172387913786,0.07485966331182793
_Chromagram_Mean_10,2.2914565926241552,0.07772528000296221
_Chromagram_Mean_5,2.06711960425171,0.10403214902972478
_MFCC_Mean_11,1.8661630721910136,0.13472721721073216
_MFCC_Mean_13,1.7380921181200362,0.1586206189066934
_MFCC_Mean_5,1.4833946989545794,0.21853351603263002
_MFCC_Mean_8,0.5533299721985696,0.6461748211404377
_MFCC_Mean_10,0.25841929358161514,0.8553232332336411
_MFCC_Mean_12,0.17276242443153517,0.9147861195781936
