feature,q1,q3,iqr,lower_bound,upper_bound,iqr_outlier_count,iqr_outlier_percentage,z_threshold,zscore_outlier_count,zscore_outlier_percentage
_AttackTime_Mean,0.023,0.033,0.010000000000000002,0.007999999999999997,0.048,38,9.5,3.0,9,2.25
_Spectralkurtosis_Mean,3.8815,7.849,3.9675000000000002,-2.06975,13.80025,33,8.25,3.0,5,1.25
_Chromagram_Mean_7,0.026,0.365,0.33899999999999997,-0.48249999999999993,0.8734999999999999,22,5.5,3.0,0,0.0
_Chromagram_Mean_4,0.017,0.315,0.298,-0.42999999999999994,0.762,21,5.25,3.0,8,2.0
_Spectralskewness_Mean,1.32725,2.1825,0.8552500000000001,0.04437499999999983,3.4653750000000003,18,4.5,3.0,9,2.25
_Roughness_Mean,169.18875,734.3725,565.1837499999999,-678.5868749999998,1582.1481249999997,18,4.5,3.0,8,2.0
_Chromagram_Mean_2,0.0185,0.39525,0.37675,-0.546625,0.960375,18,4.5,3.0,0,0.0
_HarmonicChangeDetectionFunction_PeriodEntropy,0.965,0.969,0.0040000000000000036,0.959,0.975,16,4.0,3.0,5,1.25
_MFCC_Mean_6,-0.07825,0.15125,0.22949999999999998,-0.42249999999999993,0.49549999999999994,15,3.75,3.0,8,2.0
_MFCC_Mean_1,1.9485000000000001,2.8602499999999997,0.9117499999999996,0.5808750000000007,4.227874999999999,15,3.75,3.0,5,1.25
_Fluctuation_Mean,5.859500000000001,7.8235,1.9639999999999995,2.9135000000000013,10.769499999999999,14,3.5000000000000004,3.0,12,3.0
_MFCC_Mean_13,-0.0455,0.10125,0.14675,-0.265625,0.32137499999999997,14,3.5000000000000004,3.0,5,1.25
_MFCC_Mean_8,-0.04925,0.13,0.17925000000000002,-0.31812500000000005,0.39887500000000004,13,3.25,3.0,5,1.25
_EntropyofSpectrum_Mean,0.853,0.899,0.04600000000000004,0.7839999999999999,0.9680000000000001,13,3.25,3.0,4,1.0
_Pulseclarity_Mean,0.12775,0.32725000000000004,0.19950000000000004,-0.17150000000000007,0.6265000000000001,12,3.0,3.0,7,1.7500000000000002
_MFCC_Mean_4,-0.117,0.19825,0.31525000000000003,-0.589875,0.6711250000000001,12,3.0,3.0,3,0.75
_MFCC_Mean_10,-0.05925,0.126,0.18525,-0.337125,0.403875,12,3.0,3.0,3,0.75
_MFCC_Mean_9,-0.07100000000000001,0.123,0.194,-0.36200000000000004,0.41400000000000003,11,2.75,3.0,5,1.25
_MFCC_Mean_11,-0.044,0.114,0.158,-0.28099999999999997,0.351,11,2.75,3.0,3,0.75
_Roughness_Slope,-0.027,0.174,0.20099999999999998,-0.3285,0.4755,11,2.75,3.0,1,0.25
_HarmonicChangeDetectionFunction_Slope,-0.058,0.06325,0.12125,-0.239875,0.245125,10,2.5,3.0,3,0.75
_MFCC_Mean_12,-0.056,0.0945,0.1505,-0.28175,0.32025000000000003,10,2.5,3.0,2,0.5
_Spectralflatness_Mean,0.029,0.062,0.033,-0.0205,0.1115,9,2.25,3.0,8,2.0
_MFCC_Mean_5,0.06125,0.2885,0.22724999999999998,-0.279625,0.629375,9,2.25,3.0,3,0.75
_Lowenergy_Mean,0.523,0.5832499999999999,0.060249999999999915,0.43262500000000015,0.6736249999999998,9,2.25,3.0,2,0.5
_MFCC_Mean_7,-0.04125,0.17225,0.2135,-0.3615,0.49249999999999994,8,2.0,3.0,2,0.5
_MFCC_Mean_2,-0.26275000000000004,0.41325,0.676,-1.27675,1.42725,7,1.7500000000000002,3.0,3,0.75
_Zero-crossingrate_Mean,592.275,1303.49275,711.2177499999999,-474.55162499999994,2370.319375,6,1.5,3.0,3,0.75
_HarmonicChangeDetectionFunction_PeriodAmp,0.725,0.824,0.09899999999999998,0.5765,0.9724999999999999,6,1.5,3.0,3,0.75
_HarmonicChangeDetectionFunction_PeriodFreq,0.961,2.243,1.282,-0.9620000000000001,4.166,6,1.5,3.0,0,0.0
