feature_1,feature_2,abs_correlation,correlation
_Rolloff_Mean,_Spectralcentroid_Mean,0.9579267492979362,0.9579267492979362
_Brightness_Mean,_EntropyofSpectrum_Mean,0.9319342184845489,0.9319342184845489
_Rolloff_Mean,_Spectralspread_Mean,0.9209000169001064,0.9209000169001064
_MFCC_Mean_1,_Brightness_Mean,0.9008823973000486,-0.9008823973000486
_Spectralcentroid_Mean,_EntropyofSpectrum_Mean,0.8894085045773885,0.8894085045773885
_Spectralskewness_Mean,_Spectralkurtosis_Mean,0.8711670376499905,0.8711670376499905
_Spectralcentroid_Mean,_Spectralspread_Mean,0.8603450740520001,0.8603450740520001
_Brightness_Mean,_Spectralcentroid_Mean,0.856931165673609,0.856931165673609
_Spectralskewness_Mean,_EntropyofSpectrum_Mean,0.8547644572086206,-0.8547644572086206
_Zero-crossingrate_Mean,_Brightness_Mean,0.8404985763948363,0.8404985763948363
_RMSenergy_Mean,_Roughness_Mean,0.8390642659553819,0.8390642659553819
_MFCC_Mean_1,_Spectralskewness_Mean,0.8355528213903378,0.8355528213903378
_Spectralcentroid_Mean,_Spectralskewness_Mean,0.8215782561647816,-0.8215782561647816
_MFCC_Mean_1,_EntropyofSpectrum_Mean,0.8185578615402267,-0.8185578615402267
_Rolloff_Mean,_Spectralskewness_Mean,0.8165512257054849,-0.8165512257054849
_Brightness_Mean,_Spectralskewness_Mean,0.8144310477641137,-0.8144310477641137
_Rolloff_Mean,_EntropyofSpectrum_Mean,0.8107640236518757,0.8107640236518757
_Spectralspread_Mean,_Spectralflatness_Mean,0.7892443684998411,0.7892443684998411
_Zero-crossingrate_Mean,_EntropyofSpectrum_Mean,0.7741692855183998,0.7741692855183998
_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_PeriodAmp,0.7403720661995487,-0.7403720661995487
_MFCC_Mean_1,_Spectralcentroid_Mean,0.7313206159020462,-0.7313206159020462
_Rolloff_Mean,_Brightness_Mean,0.7309596735457426,0.7309596735457426
_Spectralspread_Mean,_Spectralskewness_Mean,0.7042543794310349,-0.7042543794310349
_Zero-crossingrate_Mean,_Spectralcentroid_Mean,0.6974341125303668,0.6974341125303668
_Rolloff_Mean,_Spectralflatness_Mean,0.6922444801210215,0.6922444801210215
_Spectralcentroid_Mean,_Spectralflatness_Mean,0.6905250187538573,0.6905250187538573
_Spectralspread_Mean,_EntropyofSpectrum_Mean,0.6786131423356283,0.6786131423356283
_MFCC_Mean_1,_Spectralkurtosis_Mean,0.6682501602450265,0.6682501602450265
_MFCC_Mean_1,_Zero-crossingrate_Mean,0.6622657274722683,-0.6622657274722683
_Eventdensity_Mean,_HarmonicChangeDetectionFunction_PeriodAmp,0.6593363590455317,0.6593363590455317
