feature,multiclass_fisher_score
_HarmonicChangeDetectionFunction_Std,1.3426439402690087
_Zero-crossingrate_Mean,0.9458397135667753
_HarmonicChangeDetectionFunction_PeriodAmp,0.9235381869574683
_Pulseclarity_Mean,0.6577693680297555
_Eventdensity_Mean,0.6523845365727143
_Brightness_Mean,0.4225813316860067
_EntropyofSpectrum_Mean,0.4096555438785071
_HarmonicChangeDetectionFunction_Mean,0.35294611937636117
_MFCC_Mean_1,0.3454977728576169
_Spectralcentroid_Mean,0.20766520740025857
_AttackTime_Mean,0.1834948442732191
_Fluctuation_Mean,0.18347431126179242
_MFCC_Mean_2,0.16475132005971818
_Roughness_Mean,0.15082782004432893
_Spectralskewness_Mean,0.1418473883574408
_Chromagram_Mean_7,0.12151694037727698
_Rolloff_Mean,0.11908028488682394
_Roughness_Slope,0.11220548539991208
_RMSenergy_Mean,0.10668431405201681
_MFCC_Mean_4,0.09192889864045295
_MFCC_Mean_3,0.08822717169653113
_Chromagram_Mean_11,0.07890522986941946
_HarmonicChangeDetectionFunction_PeriodFreq,0.07821806753402594
_Chromagram_Mean_6,0.07762388848854956
_Chromagram_Mean_1,0.07488956243676366
_MFCC_Mean_7,0.07030149790364897
_Chromagram_Mean_2,0.06773319556722428
_Spectralkurtosis_Mean,0.05800677530894306
_Spectralspread_Mean,0.05566088212025871
_Chromagram_Mean_8,0.04782790834556909
_AttackTime_Slope,0.046060516627981635
_Chromagram_Mean_12,0.04471581452776248
_HarmonicChangeDetectionFunction_PeriodEntropy,0.04385875490865242
_MFCC_Mean_6,0.04188082908972073
_Lowenergy_Mean,0.03643038586814583
_Chromagram_Mean_9,0.03420094516565847
_Tempo_Mean,0.0341132372913449
_HarmonicChangeDetectionFunction_Slope,0.024741273339293
_Chromagram_Mean_3,0.02257135785541172
_Chromagram_Mean_4,0.022461797034784625
_Spectralflatness_Mean,0.018674923153153763
_MFCC_Mean_9,0.017577403324177076
_Chromagram_Mean_10,0.017359519641091906
_Chromagram_Mean_5,0.015659997001906737
_MFCC_Mean_11,0.014137599031750072
_MFCC_Mean_13,0.013167364531212346
_MFCC_Mean_5,0.011237838628443715
_MFCC_Mean_8,0.00419189372877702
_MFCC_Mean_10,0.001957721921072849
_MFCC_Mean_12,0.0013088062456934474
