principal_component,multiclass_fisher_score
PC1,0.5393865195507234
PC2,0.538904640401282
PC3,0.3107766285331702
PC6,0.1177930415646382
PC15,0.08048139135389856
PC20,0.0784728459129169
PC44,0.04969811457823759
PC29,0.04162696977273646
PC38,0.039933584892512024
PC7,0.031403260689282994
PC25,0.028197370889042905
PC18,0.0276961102175309
PC8,0.02629447051194669
PC12,0.025904802598605867
PC34,0.025786757312520253
PC17,0.025584151474073374
PC4,0.025532724369042085
PC45,0.025265199395375002
PC42,0.022618872718943448
PC28,0.018440748424341843
PC10,0.01762149515615296
PC48,0.014376574015187374
PC14,0.013394387762495219
PC36,0.012842543567169103
PC19,0.012153998149772548
PC32,0.011478735704363602
PC49,0.01063126017322005
PC22,0.010424138086035595
PC50,0.009442534728675626
PC21,0.00923735436598178
PC16,0.008929737184978779
PC24,0.008810735636174951
PC33,0.00860128454516699
PC5,0.007247037633389799
PC40,0.006240483363491001
PC46,0.005822025631885072
PC23,0.005792724967343409
PC13,0.005581413398075052
PC27,0.005422381362004173
PC41,0.0050758133414128695
PC37,0.004569882190352224
PC47,0.004515193219350377
PC26,0.002951599656626241
PC11,0.0022235935583816277
PC43,0.002170024702342657
PC9,0.0020278620555553096
PC35,0.0018586775185869685
PC31,0.0012367653585620459
PC39,0.0010675411953406347
PC30,0.0007060062278739606
