principal_component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio,multiclass_fisher_score
PC1,8.515603797385076,0.16988629575783215,0.16988629575783215,0.5393865195507234
PC2,3.7793209668915932,0.07539745328948724,0.2452837490473194,0.538904640401282
PC3,3.4563215427597043,0.06895361477805606,0.3142373638253755,0.3107766285331702
PC4,2.2890496762720605,0.04566654104162758,0.3599039048670031,0.025532724369042085
PC5,2.2226091202409326,0.04434105194880658,0.40424495681580963,0.007247037633389799
PC6,1.979310018975027,0.03948723487855176,0.4437321916943614,0.1177930415646382
PC7,1.670943363515621,0.03333532010213662,0.47706751179649803,0.031403260689282994
PC8,1.6229511553985023,0.0323778755502001,0.5094453873466981,0.02629447051194669
PC9,1.4615467322471445,0.029157857308330516,0.5386032446550286,0.0020278620555553096
PC10,1.3768183904669142,0.027467526889814922,0.5660707715448435,0.01762149515615296
PC11,1.340839630808032,0.02674975063462022,0.5928205221794638,0.0022235935583816277
PC12,1.2573254820306266,0.025083643366510984,0.6179041655459748,0.025904802598605867
PC13,1.225651623115565,0.024451749881155505,0.6423559154271303,0.005581413398075052
PC14,1.1890142464143585,0.02372083421596644,0.6660767496430968,0.013394387762495219
PC15,1.054452450577632,0.021036326389023745,0.6871130760321206,0.08048139135389856
PC16,0.9832409091110442,0.01961565613676532,0.7067287321688859,0.008929737184978779
PC17,0.9552821422352885,0.019057878737593993,0.7257866109064799,0.025584151474073374
PC18,0.9104813418805668,0.018164102770517297,0.7439507136769972,0.0276961102175309
PC19,0.9000171414876021,0.017955341972677653,0.7619060556496748,0.012153998149772548
PC20,0.8578755421455004,0.017114617065802723,0.7790206727154776,0.0784728459129169
PC21,0.7882737195815319,0.01572606070565155,0.7947467334211291,0.00923735436598178
PC22,0.7561126664344991,0.015084447695368248,0.8098311811164973,0.010424138086035595
PC23,0.7425000749592798,0.014812876495437624,0.8246440576119349,0.005792724967343409
PC24,0.7078829896003936,0.014122265642527844,0.8387663232544628,0.008810735636174951
PC25,0.6769915241522552,0.013505980906837483,0.8522723041613003,0.028197370889042905
PC26,0.635633184951452,0.01268088203978146,0.8649531862010817,0.002951599656626241
PC27,0.6082159806252688,0.012133908813474106,0.8770870950145558,0.005422381362004173
PC28,0.5705698673344691,0.011382868853322651,0.8884699638678785,0.018440748424341843
PC29,0.5487652785692485,0.010947867307456501,0.8994178311753349,0.04162696977273646
PC30,0.520757291030067,0.01038910795604983,0.9098069391313848,0.0007060062278739606
PC31,0.48793553875173357,0.009734313998097079,0.9195412531294819,0.0012367653585620459
PC32,0.4616379854915724,0.009209677810556864,0.9287509309400387,0.011478735704363602
PC33,0.41837626211361423,0.0083466064291666,0.9370975373692053,0.00860128454516699
PC34,0.41652392121417947,0.008309652228222875,0.9454071895974282,0.025786757312520253
PC35,0.3584542142984371,0.0071511615752538156,0.9525583511726821,0.0018586775185869685
PC36,0.3564159758324942,0.007110498717858254,0.9596688498905404,0.012842543567169103
PC37,0.33948996741062987,0.0067728248498420615,0.9664416747403825,0.004569882190352224
PC38,0.31477637720325785,0.00627978872520499,0.9727214634655874,0.039933584892512024
PC39,0.29505112639777825,0.0058862699716356725,0.9786077334372231,0.0010675411953406347
PC40,0.24199943934792292,0.00482788881499106,0.9834356222522141,0.006240483363491001
PC41,0.2214996486766178,0.004418917991098522,0.9878545402433127,0.0050758133414128695
PC42,0.1906084645043273,0.0038026388668613276,0.9916571791101739,0.022618872718943448
PC43,0.13103108994244408,0.002614070244351758,0.9942712493545257,0.002170024702342657
PC44,0.10135393912426845,0.0020220110855291543,0.9962932604400548,0.04969811457823759
PC45,0.06644620288641129,0.0013256017475839043,0.9976188621876387,0.025265199395375002
PC46,0.04559204193854387,0.0009095612366739496,0.9985284234243127,0.005822025631885072
PC47,0.04240107693925426,0.000845901484938122,0.9993743249092508,0.004515193219350377
PC48,0.01676947711514088,0.00033455106844706035,0.9997088759776979,0.014376574015187374
PC49,0.0101775129432135,0.0002030413832171092,0.999911917360915,0.01063126017322005
PC50,0.004415169878947704,8.808263908500664e-05,1.0,0.009442534728675626
